Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,company_txt,job_state,age
"Data Scientist, Product Engagement",Employer Provided Salary:$123K - $178K,"At Realtor.com®, we have among the most comprehensive and accurate coverage of real estate listings and the most engaged users across all the online real estate portals. Our mission is to make buying, selling, renting, and living in homes easier and more rewarding for everyone.
Building your career? Build it better at Realtor.com®. Join us and help change the world of real estate, one home at a time.
Come to work for http://Realtor.com ![ A leader in online real estate and backed by industry experience and the News Corp Brand, http://Realtor.com
http://Realtor.com currently has an opportunity for a Data Scientist, Product Analytics, reporting to the Director of Analytics for Growth Product. http://Realtor.com is in the middle of aggressive strategic growth driven off of newly integrated entities, and continuing our record growth and consumer engagement will be critical to http://Realtor.com 's strategic success in the industry. Specifically, this role's core responsibilities will focus on partnering directly with the major functions of the business to drive consumer engagement, conversion and overall optimization of the consumer's journey for our emerging product and service areas. There is a tremendous opportunity to make a huge impact in a short amount of time!",3.7,"Realtor.com Careers
3.7","Austin, TX",1001 to 5000 Employees,1993,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,123,178,150.5,Realtor.com Careers, TX,30
Senior Data Scientist,Employer Provided Salary:$135K - $196K,"At Realtor.com®, we have among the most comprehensive and accurate coverage of real estate listings and the most engaged users across all the online real estate portals. Our mission is to make buying, selling, renting, and living in homes easier and more rewarding for everyone.
Building your career? Build it better at Realtor.com®. Join us and help change the world of real estate, one home at a time.
We have the most comprehensive and accurate coverage of real estate listings and the most engaged users across all the online real estate portals. Our mission is to make buying, selling, renting, and living in homes easier and more rewarding for everyone.
The Data Analytics team at Realtor.com sits at the heart of this mission. We process and analyze terabytes of data every day that enable decisions for millions of home buyers, sellers, renters, dreamers, and real estate professionals. Our goal is to use this data to make the home-buying experience a breeze for our consumers. We empower them with the most up-to-date information on properties, help them find their dream homes in the least amount of time, and match them with the most suitable realtor to meet their unique, individual needs.",3.7,"Realtor.com Careers
3.7","Austin, TX",1001 to 5000 Employees,1993,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,135,196,165.5,Realtor.com Careers, TX,30
Data Analyst,Employer Provided Salary:$102K - $148K,"At Realtor.com®, we have among the most comprehensive and accurate coverage of real estate listings and the most engaged users across all the online real estate portals. Our mission is to make buying, selling, renting, and living in homes easier and more rewarding for everyone.
Building your career? Build it better at Realtor.com®. Join us and help change the world of real estate, one home at a time.
We have the most comprehensive and accurate coverage of real estate listings and the most engaged users across all the online real estate portals. Our mission is to make buying, selling, renting, and living in homes more effortless and rewarding for everyone.
The Data Analytics team at Realtor.com sits at the heart of this mission. We process and analyze terabytes of data every day that enable decisions for millions of home buyers, sellers, renters, dreamers, and real estate professionals. Our goal is to use this data to make the home-buying experience a breeze for our consumers. We empower them with the most up-to-date information on properties, help them find their dream homes in the least amount of time, and match them with the most suitable realtor to meet their unique, individual needs.",3.7,"Realtor.com Careers
3.7","Austin, TX",1001 to 5000 Employees,1993,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,102,148,125.0,Realtor.com Careers, TX,30
Data Scientist I,$95K - $125K (Glassdoor est.),"Our Purpose
We work to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest potential. Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. We cultivate a
culture of inclusion
for all employees that respects their individual strengths, views, and experiences. We believe that our differences enable us to be a better team – one that makes better decisions, drives innovation and delivers better business results.
Title and Summary
Data Scientist I
Job Description Summary
Who is Mastercard?
Mastercard is a global technology company in the payments industry. Our mission is to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart, and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments, and businesses realize their greatest potential.
Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. With connections across more than 210 countries and territories, we are building a sustainable world that unlocks priceless possibilities for all.

Workforce Intelligence platform team supports the HR group with Data analytics solutions.

Role:

Analyze the requirement Write detailed technical analysis with impacts (technical/functionally)
Design, develop, test and provide support during implementation

All about you
1. Good understanding of SQL and Python Frameworks like Flask or Django
2. Ability to write complex SQL queries and knowledge about databases
3. Familiar with usage of Git and GitHub would be added advantage
4. Good to have Knowledge in any cloud platform (Azure, GCP, AWS)
5. The ideal candidate should have good communication (written and oral)
6. Willingness to learn new and different technologies
7. Review features and user stories in preparation for development.
8. Good knowledge on SQL, ETL, Hadoop tools and technology
9. Implement best practices including proper use of source control, participation in code reviews, data validation and testing
In the US, Mastercard is an inclusive Equal Employment Opportunity employer that considers applicants without regard to gender, gender identity, sexual orientation, race, ethnicity, disabled or veteran status, or any other characteristic protected by law. If you require accommodations or assistance to complete the online application process, please contact reasonable_accommodation@mastercard.com and identify the type of accommodation or assistance you are requesting. Do not include any medical or health information in this email. The Reasonable Accommodations team will respond to your email promptly.

O'Fallon, Missouri: $68,000 - $105,000 USD",4.3,"Mastercard
4.3","O Fallon, MO",10000+ Employees,1966,Company - Public,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable,95,125,110.0,Mastercard, MO,57
Data Scientist,Employer Provided Salary:$100K,"The Data Scientist will use analytical, statistical, and programming skills to collect, analyze, and interpret large data sets to develop data-driven intelligence. This person will play a significant role in developing data-driven tools for various role-players in the Fixed Income Capital Markets division.
ESSENTIAL DUTIES AND RESPONSIBILITIES
Collaborate with the development team and end-users to identify opportunities to leverage various data to drive business decisions.
Collect, clean, mine, and analyze data from databases to produce intelligence to optimize proprietary algorithms and trading & sales tools.
Test/deploy application/tools and assess effectiveness.
Develop custom data models and algorithms to apply to data sets; analyze model performance and data accuracy.",3.6,"Stifel, Nicolaus & Co., Inc.
3.6","New York, NY",5001 to 10000 Employees,1890,Company - Public,Investment & Asset Management,Financial Services,$1 to $5 billion (USD),100,100,100.0,"Stifel, Nicolaus & Co., Inc", NY,133
Data Scientist,$80K - $118K (Glassdoor est.),"Enterprise Knowledge (EK) is hiring for a Data Scientist to join our growing Advanced Data Practice. This individual will be responsible for designing cutting-edge data discovery, integration, and data governance solutions for a wide range of organizations around the world. EK was recognized on KMWorld's list of leaders in Artificial Intelligence, the AI 100: The Companies Empowering Intelligent Knowledge Management.
The Data Scientist will be part of a team working on cutting-edge projects and developing orchestrated data solutions to integrate and transform source data for Artificial Intelligence (AI) solutions. This individual will be able to quickly learn new technologies and apply them to business challenges at large corporations, organizations and federal agencies.The right candidate will have a passion for working with diverse data types and applying new methods and approaches to data challenges with a strategic mindset to advise clients on AI transformations.",3.9,"Enterprise Knowledge LLC
3.9","Arlington, VA",51 to 200 Employees,2013,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),80,118,99.0,Enterprise Knowledge LLC, VA,10
Data Scientist,$80K - $121K (Glassdoor est.),"Position Title: Data Scientist
Reports To: Manager of Business Intelligence
Department: Business Intelligence
Status: Exempt
Position Purpose:
The Data Scientist role is responsible for leveraging statistical and computational methods to derive insights and develop predictive models based on company and industry data. This includes building algorithms to support internal departments, designing and implementing experiments, and analyzing sales and operational data to drive decision-making across the organization. Additionally, the Data Scientist will also be responsible for creating datasets and leveraging advanced statistical analysis, machine learning and artificial intelligence techniques to guide the company's strategic initiatives. Close collaboration with cross-functional teams will be necessary to address business challenges and opportunities while continuously enhancing models and algorithms to ensure accurate and effective results.",-1.0,"Cal-Tex Protective Coatings, Inc.","Schertz, TX",51 to 200 Employees,1983,Company - Private,Chemical Manufacturing,Manufacturing,Unknown / Non-Applicable,80,121,100.5,"Cal-Tex Protective Coatings, Inc", TX,40
Junior Data Science Analyst,$69K - $95K (Glassdoor est.),"Elo is an industry leader in enterprise solutions, with a focus on Android computing, Android SDKs and Cloud Management Software. Our technology is used by leading big box retailers, healthcare, restaurants, and within the manufacturing industry. Elo products are installed every 21 seconds around the globe! We obsess over details to exceed the highest quality standards. We don’t just sell things. We offer solutions to tomorrow’s challenges.
What You Will Do:
Support sales, operations, and financial reporting dashboards to provide insights into revenue, margin, financial performance, product analytics, sales funnel, rebates necessary.
Analyzes data to support dashboards, metrics, or insights and identify trends or anomalies.",3.7,"EloTouch
3.7","Richardson, TX",501 to 1000 Employees,1971,Company - Private,Computer Hardware Development,Information Technology,$100 to $500 million (USD),69,95,82.0,EloTouch, TX,52
Associate Data Scientist,$94K - $128K (Glassdoor est.),"Cadent powers the evolution of TV brand advertising. We provide marketers, agencies, operators, and media owners with data-driven solutions for buying and selling TV advertising. By connecting brands with opportunities across national inventory sources—cable, broadcast, and digital media—our technology improves efficiencies and boosts the results of linear, addressable, and cross-screen campaigns.
Right now we are looking for a highly motivated Associate Data Scientist who will be responsible for applying scientific methods to identify business optimization strategies and develop, evaluate and demonstrate prototypes of empirical software including but not limited to machine learning, signal processing and optimization based numerical methods.
Data Scientists collaborate directly with the Business, Product, Data Engineering, and QA team members to productize AI/ML research to drive business gorwth. This is a critical role that needs knowledge of mathematics and engineering, output from this role will be leveraged by business, engineers and by senior executives to define the future of Cadent.



Flexible work from home options available.",3.4,"Cadent
3.4","Philadelphia, PA",201 to 500 Employees,-1,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,94,128,111.0,Cadent, PA,-1
"Data Scientist, Services",Employer Provided Salary:$140K - $150K,"StreetLight pioneered the use of Big Data analytics to shed light on how people, goods, and services move, empowering smarter, data-driven transportation decisions. The company applies proprietary machine-learning algorithms and data processing resources to measure travel patterns of vehicles, bicycles and pedestrians that enable complex transportation problem solving using analytics available on SaaS platform, StreetLight InSight®. Acquired by Jacobs as a subsidiary in February 2022, StreetLight continues to provide innovative digital solutions to help communities reduce congestion, improve safe and equitable transportation, and maximize the positive impact of infrastructure investment.

As a Data Scientist on our Services team, your role will be vital in shaping our services offerings. You will directly influence the success of our customers by developing data-driven solutions tailored to their unique needs. Utilizing your data science expertise, you will be tasked not only with the creation of these solutions but also with the proactive identification and validation of potential new services offerings.",4.7,"StreetLight Data
4.7",Remote,51 to 200 Employees,2011,Company - Private,Computer Hardware Development,Information Technology,Less than $1 million (USD),140,150,145.0,StreetLight Data,Remote,12
