,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,"Data Scientist, Product Engagement",Employer Provided Salary:$123K - $178K,"At Realtor.com®, we have among the most comprehensive and accurate coverage of real estate listings and the most engaged users across all the online real estate portals. Our mission is to make buying, selling, renting, and living in homes easier and more rewarding for everyone.
Building your career? Build it better at Realtor.com®. Join us and help change the world of real estate, one home at a time.
Come to work for http://Realtor.com ![ A leader in online real estate and backed by industry experience and the News Corp Brand, http://Realtor.com
http://Realtor.com currently has an opportunity for a Data Scientist, Product Analytics, reporting to the Director of Analytics for Growth Product. http://Realtor.com is in the middle of aggressive strategic growth driven off of newly integrated entities, and continuing our record growth and consumer engagement will be critical to http://Realtor.com 's strategic success in the industry. Specifically, this role's core responsibilities will focus on partnering directly with the major functions of the business to drive consumer engagement, conversion and overall optimization of the consumer's journey for our emerging product and service areas. There is a tremendous opportunity to make a huge impact in a short amount of time!",3.7,"Realtor.com Careers
3.7","Austin, TX",1001 to 5000 Employees,1993,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
1,Data Scientist Associate I,-1,"Discover Vanderbilt University Medical Center: Located in Nashville, Tennessee, and operating at a global crossroads of teaching, discovery, and patient care, VUMC is a community of diverse individuals who come to work each day with the simple aim of changing the world. It is a place where your expertise will be valued, your knowledge expanded, and your abilities challenged. Vanderbilt Health recognizes that diversity is essential for excellence and innovation. We are committed to an inclusive environment where everyone has the chance to thrive and where your diversity of culture, thinking, learning, and leading is sought and celebrated. It is a place where employees know they are part of something that is bigger than themselves, take exceptional pride in their work and never settle for what was good enough yesterday. Vanderbilt’s mission is to advance health and wellness through preeminent programs in patient care, education, and research.
Organization:
Epidemiology Research Staff
Job Summary:
JOB SUMMARY
We are seeking a highly skilled and motivated Computational Engineer to join our group at Vanderbilt University School of Medicine. As a Computational Engineer, you will play a crucial role in developing, building, and calibrating agent-based models of HIV infectious diseases. Your expertise in C++ programming, Python scripting, and data analysis will be vital for conducting advanced simulations, analyzing complex datasets, and implementing machine learning algorithms. This position offers an exciting opportunity to contribute to cutting-edge research in computational epidemiology and make a significant impact on public health.

















Organizational Impact: Delivers job responsibilities that impact own job area/team with some guidance. Problem Solving/ Complexity of work: Uses existing procedures, research and analysis to solve standard job related problems that may require some judgement. Breadth of Knowledge: Requires subject matter knowledge within a professional area to meet job requirements. Team Interaction: Individually contributes to project/ work teams.
Supporting Colleagues: - Develops Self and Others: Continuously improves own skills by identifying development opportunities.- Builds and Maintains Relationships: Seeks to understand colleagues priorities, working styles and develops relationships across areas. - Communicates Effectively: Openly shares information with others and communicates in a clear and courteous manner. Delivering Excellent Services: - Serves Others with Compassion: Invests time to understand the problems, needs of others and how to provide excellent service. - Solves Complex Problems: Seeks to understand issues, solves routine problems, and raises proper concerns to supervisors in a timely manner. - Offers Meaningful Advice and Support: Listens carefully to understand the issues and provides accurate information and support. Ensuring High Quality: - Performs Excellent Work: Checks work quality before delivery and asks relevant questions to meet quality standards.- Ensures Continuous Improvement: Shows eagerness to learn new knowledge, technologies, tools or systems and displays willingness to go above and beyond. - Fulfills Safety and Regulatory Requirements: Demonstrates basic knowledge of conditions that affect safety and reports unsafe conditions to the appropriate person or department. Managing Resources Effectively :- Demonstrates Accountability: Takes responsibility for completing assigned activities and thinks beyond standard approaches to provide high-quality work/service. - Stewards Organizational Resources: Displays understanding of how personal actions will impact departmental resources. - Makes Data Driven Decisions: Uses accurate information and good decision making to consistently achieve results on time and without error. Fostering Innovation: - Generates New Ideas: Willingly proposes/accepts ideas or initiatives that will impact day-to-day operations by offering suggestions to enhance them.- Applies Technology: Absorbs new technology quickly; understands when to utilize the appropriate tools and procedures to ensure proper course of action. - Adapts to Change: Embraces changes by keeping an open mind to changing plans and incorporates change instructions into own area of work.
Relevant Work Experience
3 years
Master's",3.7,"Vanderbilt University Medical Center
3.7","Nashville, TN",10000+ Employees,1874,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD)
2,Senior Data Scientist,Employer Provided Salary:$135K - $196K,"At Realtor.com®, we have among the most comprehensive and accurate coverage of real estate listings and the most engaged users across all the online real estate portals. Our mission is to make buying, selling, renting, and living in homes easier and more rewarding for everyone.
Building your career? Build it better at Realtor.com®. Join us and help change the world of real estate, one home at a time.
We have the most comprehensive and accurate coverage of real estate listings and the most engaged users across all the online real estate portals. Our mission is to make buying, selling, renting, and living in homes easier and more rewarding for everyone.
The Data Analytics team at Realtor.com sits at the heart of this mission. We process and analyze terabytes of data every day that enable decisions for millions of home buyers, sellers, renters, dreamers, and real estate professionals. Our goal is to use this data to make the home-buying experience a breeze for our consumers. We empower them with the most up-to-date information on properties, help them find their dream homes in the least amount of time, and match them with the most suitable realtor to meet their unique, individual needs.",3.7,"Realtor.com Careers
3.7","Austin, TX",1001 to 5000 Employees,1993,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
3,Data Analyst,Employer Provided Salary:$102K - $148K,"At Realtor.com®, we have among the most comprehensive and accurate coverage of real estate listings and the most engaged users across all the online real estate portals. Our mission is to make buying, selling, renting, and living in homes easier and more rewarding for everyone.
Building your career? Build it better at Realtor.com®. Join us and help change the world of real estate, one home at a time.
We have the most comprehensive and accurate coverage of real estate listings and the most engaged users across all the online real estate portals. Our mission is to make buying, selling, renting, and living in homes more effortless and rewarding for everyone.
The Data Analytics team at Realtor.com sits at the heart of this mission. We process and analyze terabytes of data every day that enable decisions for millions of home buyers, sellers, renters, dreamers, and real estate professionals. Our goal is to use this data to make the home-buying experience a breeze for our consumers. We empower them with the most up-to-date information on properties, help them find their dream homes in the least amount of time, and match them with the most suitable realtor to meet their unique, individual needs.",3.7,"Realtor.com Careers
3.7","Austin, TX",1001 to 5000 Employees,1993,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
4,Data Scientist I,$95K - $125K (Glassdoor est.),"Our Purpose
We work to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest potential. Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. We cultivate a
culture of inclusion
for all employees that respects their individual strengths, views, and experiences. We believe that our differences enable us to be a better team – one that makes better decisions, drives innovation and delivers better business results.
Title and Summary
Data Scientist I
Job Description Summary
Who is Mastercard?
Mastercard is a global technology company in the payments industry. Our mission is to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart, and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments, and businesses realize their greatest potential.
Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. With connections across more than 210 countries and territories, we are building a sustainable world that unlocks priceless possibilities for all.

Workforce Intelligence platform team supports the HR group with Data analytics solutions.

Role:

Analyze the requirement Write detailed technical analysis with impacts (technical/functionally)
Design, develop, test and provide support during implementation

All about you
1. Good understanding of SQL and Python Frameworks like Flask or Django
2. Ability to write complex SQL queries and knowledge about databases
3. Familiar with usage of Git and GitHub would be added advantage
4. Good to have Knowledge in any cloud platform (Azure, GCP, AWS)
5. The ideal candidate should have good communication (written and oral)
6. Willingness to learn new and different technologies
7. Review features and user stories in preparation for development.
8. Good knowledge on SQL, ETL, Hadoop tools and technology
9. Implement best practices including proper use of source control, participation in code reviews, data validation and testing
In the US, Mastercard is an inclusive Equal Employment Opportunity employer that considers applicants without regard to gender, gender identity, sexual orientation, race, ethnicity, disabled or veteran status, or any other characteristic protected by law. If you require accommodations or assistance to complete the online application process, please contact reasonable_accommodation@mastercard.com and identify the type of accommodation or assistance you are requesting. Do not include any medical or health information in this email. The Reasonable Accommodations team will respond to your email promptly.

O'Fallon, Missouri: $68,000 - $105,000 USD",4.3,"Mastercard
4.3","O Fallon, MO",10000+ Employees,1966,Company - Public,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable
5,Data Scientist,-1,"Marlabs LLC, a Piscataway, NJ-based software and technology consulting company, has multiple openings for Data Scientist (for locations nationwide) Analysis by applying statistics, machine learning and analytic approaches to predict and optimize business outcomes. Design and build ML/DL models to solve business problems. Assess the effectiveness and accuracy of models on an ongoing basis. Identify new data that could enhance the quality and accuracy of models to improve predictions. Communicate results effectively with storytelling and visualization. Req.: Master’s Degree (Or Foreign Equivalent Degree) in CompSci any Engg, CIS, Science, Math, Business or related with one years’ exp. OTHER REQUIREMENTS: At least one year of experience in Machine Learning, Statistical and Reporting tools (Python, R, SQL, PowerBI), Cloud (AWS, Azure) based analytics platform. Travel and relocation possible to unanticipated client locations which will be anywhere in the US; All responses to this ad must include Job code reference (SN8557). Marlabs is an equal opportunity employer. Submit resume and salary requirements to: Marlabs LLC, P.O. Box 519, Piscataway, NJ 08854. The candidates may be assigned to work at client sites across the U.S.",3.7,"Marlabs Innovations Private Limited
3.7",United States,1001 to 5000 Employees,1996,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD)
6,Data Scientist,Employer Provided Salary:$100K,"The Data Scientist will use analytical, statistical, and programming skills to collect, analyze, and interpret large data sets to develop data-driven intelligence. This person will play a significant role in developing data-driven tools for various role-players in the Fixed Income Capital Markets division.
ESSENTIAL DUTIES AND RESPONSIBILITIES
Collaborate with the development team and end-users to identify opportunities to leverage various data to drive business decisions.
Collect, clean, mine, and analyze data from databases to produce intelligence to optimize proprietary algorithms and trading & sales tools.
Test/deploy application/tools and assess effectiveness.
Develop custom data models and algorithms to apply to data sets; analyze model performance and data accuracy.",3.6,"Stifel, Nicolaus & Co., Inc.
3.6","New York, NY",5001 to 10000 Employees,1890,Company - Public,Investment & Asset Management,Financial Services,$1 to $5 billion (USD)
7,Data Scientist,$80K - $118K (Glassdoor est.),"Enterprise Knowledge (EK) is hiring for a Data Scientist to join our growing Advanced Data Practice. This individual will be responsible for designing cutting-edge data discovery, integration, and data governance solutions for a wide range of organizations around the world. EK was recognized on KMWorld's list of leaders in Artificial Intelligence, the AI 100: The Companies Empowering Intelligent Knowledge Management.
The Data Scientist will be part of a team working on cutting-edge projects and developing orchestrated data solutions to integrate and transform source data for Artificial Intelligence (AI) solutions. This individual will be able to quickly learn new technologies and apply them to business challenges at large corporations, organizations and federal agencies.The right candidate will have a passion for working with diverse data types and applying new methods and approaches to data challenges with a strategic mindset to advise clients on AI transformations.",3.9,"Enterprise Knowledge LLC
3.9","Arlington, VA",51 to 200 Employees,2013,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
8,Data Scientist,$80K - $121K (Glassdoor est.),"Position Title: Data Scientist
Reports To: Manager of Business Intelligence
Department: Business Intelligence
Status: Exempt
Position Purpose:
The Data Scientist role is responsible for leveraging statistical and computational methods to derive insights and develop predictive models based on company and industry data. This includes building algorithms to support internal departments, designing and implementing experiments, and analyzing sales and operational data to drive decision-making across the organization. Additionally, the Data Scientist will also be responsible for creating datasets and leveraging advanced statistical analysis, machine learning and artificial intelligence techniques to guide the company's strategic initiatives. Close collaboration with cross-functional teams will be necessary to address business challenges and opportunities while continuously enhancing models and algorithms to ensure accurate and effective results.",-1,"Cal-Tex Protective Coatings, Inc.","Schertz, TX",51 to 200 Employees,1983,Company - Private,Chemical Manufacturing,Manufacturing,Unknown / Non-Applicable
9,Junior Data Scientist/Data Modeler,-1,"Overview:
LMI is seeking a skilled Data Scientist to join our growing team supporting the United States Postal Service. The Data Scientist will provide modeling and optimization analysis in support of a major USPS program.
LMI: Innovation at the Pace of Need™
At LMI, we’re reimagining the path from insight to outcome at the new speed of possible. Combining a legacy of over 60 years of federal expertise with our innovation ecosystem, we minimize time to value and accelerate mission success. We energize the brightest minds with emerging technologies to inspire creative solutioning and push the boundaries of capability. LMI advances the pace of progress, enabling our customers to thrive while adapting to evolving mission needs.
Responsibilities:
Qualifications:",4.2,"Logistics Management Institute
4.2",Remote,1001 to 5000 Employees,1961,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD)
