,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Data Analyst,Employer Provided Salary:$102K - $148K,"At Realtor.com®, we have among the most comprehensive and accurate coverage of real estate listings and the most engaged users across all the online real estate portals. Our mission is to make buying, selling, renting, and living in homes easier and more rewarding for everyone.
Building your career? Build it better at Realtor.com®. Join us and help change the world of real estate, one home at a time.
We have the most comprehensive and accurate coverage of real estate listings and the most engaged users across all the online real estate portals. Our mission is to make buying, selling, renting, and living in homes more effortless and rewarding for everyone.
The Data Analytics team at Realtor.com sits at the heart of this mission. We process and analyze terabytes of data every day that enable decisions for millions of home buyers, sellers, renters, dreamers, and real estate professionals. Our goal is to use this data to make the home-buying experience a breeze for our consumers. We empower them with the most up-to-date information on properties, help them find their dream homes in the least amount of time, and match them with the most suitable realtor to meet their unique, individual needs.",3.7,"Realtor.com Careers
3.7","Austin, TX",1001 to 5000 Employees,1993,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
1,Data Analyst,-1,"Greetings
I am seeking for technical consultant like you or someone in your network who may be interested in the opportunity below.
I am currently seeking to fill Data Warehouse Analyst/ Designer / Azure Synapse for one of our client and this position is a HYBRID model Role opportunity. (Remote may possible)
If you are a team player that is eager to support a growing organization while contributing to company success, apply today!
If you are interested in this opportunity, please send me your updated resume and a good time to connect today!
Job Title: Data Warehouse Analyst/Designer / Azure Synapse",-1,SMK Soft Inc,Remote,-1,-1,-1,-1,-1,-1
2,Data Analyst,$54K - $82K (Glassdoor est.),"This is an in-office position, working out of our North Logan or Pleasant Grove, UT offices.
About Our Company
We at Visionary Homes understand what a home means to our customers. After all, a home isn’t just made of concrete, wood, and bricks. It’s made of memories and moments—moments of a family playing together, a child taking that first step, a social gathering, a relaxing soak in the tub after a long day. A home is made of laughter, happiness, and love. At Visionary Homes, our expertise is creating and building an environment where these moments can happen—where living happens.
Overview
As a Data Analyst for Visionary Homes, you will have the opportunity to focus on producing analytical solutions for leadership to support business initiatives. The Data Analyst provides consultation and support in developing, analyzing, interpreting, and managing various routines to minimally complex data sources.",4.5,"Visionary Homes
4.5","North Logan, UT",51 to 200 Employees,2004,Company - Private,Construction,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable
3,Data Mining Analyst,$63K - $91K (Glassdoor est.),"Kodak Alaris is a global technology company that’s delivering future value through customer solutions. Our advanced, patented intellectual property combines breakthrough technologies, digital transformation, and human know-how to unlock the power of images and information. We make businesses run faster, governments run smarter and provide consumers innovative solutions to preserve and enjoy their most cherished memories. Our future is powered by our employees’ creativity. Expect a lot from Kodak Alaris and know that we expect a lot of ourselves and the performance of the company.

Kodak Moments

Kodak Moments is a leading global provider of photo products and services to retailers, consumers, and entertainment properties. We inspire consumers to bring their memories to life--delivering innovative, high-quality photo products and experiences they find truly meaningful. Powered by over 100,000 consumer touchpoints across 30 countries globally, it's our mission to be the brand consumers choose to celebrate and preserve life's memories, from the big events to the everyday moments that matter.


Provide Data Mining Analyst support to the Hardware Systems Solutions Organization of the Kodak Moments division of Kodak Alaris. This position is hybrid role working out of our Rochester, NY office.





https://dol.ny.gov/posting-requirements-0

Kodak Alaris provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.
As a member of the Kodak Alaris team you will be eligible to participate in our flexible benefits program which include paid flexible time off, health, dental and vision coverage, paid sick leave, paid parental leave, 401(k) plan with company match, short-term and long term disability coverage and life insurance.",4.0,"Kodak Alaris
4.0","Rochester, NY",1001 to 5000 Employees,2013,Company - Private,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD)
4,Data Analyst,Employer Provided Salary:$40.00 - $45.00 Per Hour,"Primary Duties: Data Analyst 2
Provide ad-hoc reports
Develop reporting cadence and provide performance reports at the individual and team level for all operating areas
Collect data and examine it to spot trends and glean information that can be used to make business decisions • Demonstrate ability to be a trusted & respected business partner to all levels in the organization, and the ability to translate data into clear, actionable next steps for internal teams
Collaborate with Data Scientist and other team members as needed
Qualifications:
Minimum 2 years’ experience in data analytics",3.9,"GSK Solutions Inc
3.9","Richmond, VA",1 to 50 Employees,2010,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD)
5,Data Analyst,Employer Provided Salary:$65K - $85K," Responsible for the design, development and maintenance of informational dashboards, data and report development and processing applications and database systems for research and innovation projects.  Responsibility includes contributing to maintenance and administration of database server environments and associated critical server applications.  Works as part of a cross-functional team with other Data Engineers, IT staff, Data Analysts and Project Coordinators and others assigned to support projects.  Prepare, modify and create existing or new report requests from users, both internal and external, including provider disruption reports and geographical access reports  Work with data from large, sometimes disparate, data sources to understand and explain key drivers of the business
Job Types: Full-time, Part-time, Permanent
Salary: $65,000.00 - $85,000.00 per year
Experience level:",2.0,"Cognize Tech Solutions
2.0",Remote,51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
6,Data Warehouse Programmer analyst,Employer Provided Salary:$99K,"Overview:
Data Warehouse Programmer Analyst

Partnership HealthPlan of California is recruiting for our Fairfield, CA office: Data Warehouse Programmer Analyst: Work with Data Warehouse/Business Intelligence (DW/BI) Architect to tune and modify backend Business Intelligence environment. Participate in enterprise DW/BI strategizing. Assist developers with ETL strategy and programming. Analyze data issues through different databases. Manage development, deployment, maintenance, and support of data access ETL tools. Part-time telecommuting allowed. $98,881.12/year.

Education and Experience Required:
Master’s degree or foreign equivalent in Computer Science, Information Systems or other closely related fields and 24 months of experience.",4.0,"Partnership HealthPlan of California
4.0","Fairfield, CA",501 to 1000 Employees,1994,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD)
7,Data Analyst,-1,"REQUIRED SKILLS
Seeking for a strong data analyst who can perform independent.
Good to have Prior experience in banking domain is plus and understanding the finance various data transactions.
Should have strong SQL analytical (RDBMS & Cloud platform), problem-solving skills, data optimization, and strong communications in showcasing to business.
Must have experience with building SQL queries, data profiling, analysis, and mapping activities.
Should have experience in understanding ETL packages, reports, use cases and converting into technical aspects.
Strong understanding of data modeling, data warehouse & data lake concepts such as logical & physical models (OLTP & OLAP), data marts, entity relationship diagrams, normalization, source target mapping, and data classification.",-1,Honeysys LLC,Remote,-1,-1,-1,-1,-1,-1
8,Data Analyst II,-1,"Company: Camillo Companies
Job Title: Data Analyst II
Department: Technology and Innovation
Reports to: Director of Strategy & Delivery
Status: Full Time/Exempt, Salary
Camillo Companies is seeking an experienced Data Analyst. The Data Analyst will provide management with data analysis that can be used in decision making and improvement initiatives. This role will report directly to the Director of Strategy and Delivery. The ideal candidate will work with leadership and other technology team members to build and maintain data solutions and reporting frameworks to support the business operations and projects.",3.2,"Camillo Properties LTD.
3.2","Houston, TX",51 to 200 Employees,2011,Company - Private,Real Estate,Real Estate,$5 to $25 million (USD)
9,Data Analyst,Employer Provided Salary:$55K - $70K,"Holland Homes is in search of someone who has experience in analytics and BI. This position is responsible for coordinating, gathering, querying, formatting, cleaning, analyzing, and interpreting data in efforts to help streamline and coordinate information across all departments of the company to communicate with one another, create analytics and reports company-wide that provides leadership to have up to date, accurate, and timely information.
*Job is not remote must live near Auburn, AL*
Responsibilities include:
- Collecting data from single or multiple systems.
- Developing reports and analysis as well as dashboards and graphics.",2.3,"Holland Homes, LLC
2.3","Auburn, AL",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
