,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Data Operations Analyst,Employer Provided Salary:$70K - $95K,"Egen is a data engineering and cloud modernization firm helping industry-leading companies achieve digital breakthroughs and deliver for the future, today. Our team of cloud and data engineering experts are trusted by top clients in pursuit of the extraordinary. An Inc. 5000 Fastest Growing Company 7 times, and recently recognized on the Crain’s Chicago Business Fast 50 list, Egen has also been recognized as a great place to work 3 times.
About the Role:
Data Operations Engineer, you will be responsible for investigating data integration issues, analyzing the scope of the issue, communicating status and impact, and owning both immediate resolution and long-term prevention of recurrence of data issues to business processes. The ideal candidate is very resourceful and has strong production experience working with Python, complex SQL procedures, relational databases, data mapping, data transformations, and data integration.
Responsibilities:
Understand the flow, dependencies, and provenance and service levels of our data systems to continuously improve accuracy, timeliness, and availability of data
Manage the handoff of data ingestion streams from implementation teams to full production
Take ownership and resolve all data issues
Manage data providers to maintain escalation protocol, communicate inbound scorecards, and track resolution of issues
Update mappings, transformations and validations to correct issues and keep pace with changes in inbound data
Create and document processes to reduce operating cost and improve quality
Conduct quality assessments and validation of end result data transfer
Identify additional areas for integration of technology infrastructure and other IT systems
Automate!
Required Experience:
Bachelor’s degree in a relevant field
Relevant work experience in technology consulting and/or in a system or data analyst role
Must have strong professional knowledge of and experience with Python, SQL Server.
Must have solid understanding of ETL and Data Warehousing processes
Nice to have's (but not required):
AWS, GCP, or Snowflake experience would set you apart!
Past experience using Informatica and/or SQL Server Integration Service (SSIS)
Familiarity with Healthcare data
This is a full time, On-site and we are based out of Naperville, IL.
Looking forward to connecting with you!
Job Type: Full-time
Pay: $70,000.00 - $95,000.00 per year
Benefits:
Visa sponsorship
Compensation package:
Bonus opportunities
Performance bonus
Experience level:
2 years
Work Location: In person",-1.0,Egen Solutions Inc,"Naperville, IL",-1,-1,-1,-1,-1,-1
1,Analytics Data Analyst,$76K - $107K (Glassdoor est.),"About Energo
Energo is a rapidly growing energy supplier that provides a broad range of energy products and services to customers in NY, NJ, PA and MD. Please visit our website for more information: https://energo.com/
Energo is an equal opportunity employer, and applicants considered will not be because of age, color, disability, gender, national origin, race, religion, sexual orientation, gender identity, protected veteran status, or any other classification protected by federal, state, or local law.
Job Summary
Energo is seeking a positive, goal-oriented Analytics Data Analyst. The Analytics Data Analyst is a key member of the Systems and Risk team and will primarily be supporting the Operations department with customer enrollments, database management, billing, and reporting. Attention to detail, ability to work in a fast-paced environment, organizational skills and ability to organize and analyze data are necessary skills to succeed within this role. Multi-tasking is a must! Company offers a competitive salary based on experience, benefits, and 401K plan.
Overview
Responsibilities:
Develop, implement, and improve data collection and reporting for both internal and external teams
Acquire data from primary or secondary data sources and maintain data systems
Interpret, process and analyze complex billing data for Operations
Assist with the enhancement of the billing system to meet the requirements necessary to enroll and bill customers receiving energy supply from Energo
Proactively identify and implement operational improvements, enhancements, and system customizations that meet business requirements
Work with management to prioritize business and information needs
Support weekly, monthly and quarterly reporting
Ad hoc assignments
This position reports to the VP of Risk and Systems.
We are seeking candidates who meet the following criteria:
Bachelor’s degree
1-3 years work experience required
1-3 years experience with a retail energy company preferred
Proficiency in SQL, Python or VBA, Microsoft Office and Excel required.
Strong organization skills are required, with demonstrated ability to effectively handle multiple projects and tasks, and deliver work product on time
Eagerness to contribute in a team-oriented environment
Ability to work creatively and analytically in a problem-solving environment
Not afraid to ask questions and strong communication and interpersonal skills",4.4,"Energo
4.4","Liverpool, NY",Unknown,-1,Company - Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable
2,Sr Tableau Data Analyst,Employer Provided Salary:$50.00 - $60.00 Per Hour,"Performs complex (journey-level) data analysis and data research work. Work involves conducting detailed analysis of and extensive research on data, providing results, and monitoring and implementing data quality. Develop and implement customer-centric metrics and reporting. Support performance, quality, and improvement efforts to help streamline processes through data analysis and visualization. Manage the analysis of data and embrace evaluative thinking that includes posing thoughtful questions about data, getting feedback from key stakeholders, and using data to support staff, programs, and operations. May provide guidance to others. Works under limited supervision, with moderate latitude for the use of initiative and independent judgment.
II. CANDIDATE SKILLS AND QUALIFICATIONS
Minimum Requirements:
Candidates that do not meet or exceed the minimum stated requirements (skills/experience) will be displayed to customers but may not be chosen for this opportunity.
Years
Required/Preferred
Experience
8
Required
Senior level business, data and report development expertise with Tableau.
7
Required
Previous experience conducting assessments of client data and reporting dashboards development methodologies, and the development of operational support capabilities and processes.
7
Required
Previous experience working as a Data Analyst liaison between Information Technology (IT) staff and the business; to develop requirements, processes to deliver dashboards.
5
Required
Working as a Data analyst (DA) developing and documenting business and data requirements leveraging planned requirement gathering sessions. Thorough knowledge of System Architecture Designs, System Designs, System Implementations and System Testing.
5
Required
Previous experience using Business/Data Analysis expertise in facilitating day-to-day activities to produce reporting deliverables needed from the stakeholder/customer teams.
5
Required
Experience creating and providing, and presenting status reports, options and feedback to upper management and C Level stakeholders.
1
Preferred
Previous Tableau experience in the Public Sector.
1
Preferred
Tableau Certification preferred.
1
Preferred
Knowledge of ERP systems and financial modules preferred.
Job Types: Full-time, Contract
Salary: $50.00 - $60.00 per hour
Benefits:
Health insurance
Compensation package:
Hourly pay
Experience level:
10 years
11+ years
8 years
9 years
Schedule:
Monday to Friday
Application Question(s):
Required two professional references for the Interview process -
Experience:
business, data, report development expertise with Tableau.: 8 years (Preferred)
conducting assesmt of client data and reporting dashboards: 8 years (Preferred)
Data Analyst liaison betw (IT) staff and the business: 8 years (Preferred)
Data analyst (DA) developing and documenting business: 8 years (Preferred)
Business/Data Analysis expertise in facilitating day-to-day: 5 years (Preferred)
feedback to upper management and C Level stakeholders.: 5 years (Preferred)
Tableau experience in the Public Sector.: 1 year (Preferred)
Ability to Commute:
Austin, TX 78701 (Preferred)
Ability to Relocate:
Austin, TX 78701: Relocate before starting work (Preferred)
Work Location: In person",4.4,"Dutech
4.4","Austin, TX",51 to 200 Employees,-1,Government,-1,-1,Unknown / Non-Applicable
3,Data Analyst,Employer Provided Salary:$30.00 - $32.00 Per Hour,"Job Summary:
DT Professional Services is seeking a Data Analyst/Data Research Specialist to join our team! You will perform all manner of research in areas pertaining to the business as directed by Executive Management. The ideal candidate will develop recommendations based on research results as well as spearhead special projects as directed.

Basic Skills & Experience Required:
Excel Expert (Dashboard/Slicer/VLookup/Scripting/Macro)
Develop complex analysis with data modeling and projections
Annualization
KNN (k-Nearest Neighbors)
Linear Regression
Random Forest
Other Models (Future CAST)
CRMBI or DNA experience
Experience with Google Sheets
Experience with the following visualization tools:
Tableau
PowerBI
WebFOCUS
Other (Open to others)
Can-do attitude
Fantastic research skills with the passion to learn and solve problems
Team player
Sense of urgency (extreme follow-up on projects)
Great communication skills
Must have a home office/workspace
Education Requirements:
High school diploma or equivalent required
Bachelor’s degree preferred in a business or related field of study, including twelve units of accounting or finance
The compensation range for this position: $30.00 - $32.00/hour.
lUKcv2EQiU",4.4,"DT Professional Services
4.4",Remote,1 to 50 Employees,2013,Company - Public,-1,-1,Less than $1 million (USD)
4,Data Analyst,$43K - $66K (Glassdoor est.),"Propio Language Services is transforming communication by developing tools and technologies that make it easier and more efficient for clients to engage with the Limited English Proficiency Population to improve access to healthcare and essential services in social services, education, legal and many others.
Propio is looking to hire a Data Analyst to support our teams as we grow and take on the new challenges of becoming a global organization!
Responsibilities:
Develop and maintain a comprehensive set of metrics and data visualizations to enable decision making and reporting.
Leverage metrics to identify business opportunities and risks to drive strategic action.
Collaborate with stakeholders to determine data and analysis gaps and determines optimal solutions to close those gaps, including through the development of self-service data tools/apps.
Serve as a subject matter expert and strategic advisor on initiatives to ensure they are supported by data.
Ensure a long-term maintenance of existing reports and dashboards.
Perform ad hoc data analytics and reporting to support emergent requirements.
Automate the collection and analysis large data sets from internal systems and 3rd party reporting services
Demonstrate knowledge of ETL processes and combining data from multiple sources including Salesforce, Microsoft SQL Server, MySQL, MariaDB
Craft complex SQL queries and stored procedures in order to extract and model data
Building custom automated paginated reports within SSRS (SQL Server Reporting Services)
Other duties as assigned
Qualifications:
Bachelor’s Degree, (Business Administration, Computer Science, Mathematics, Data Science, Statistics) or equivalent work experience.
Two plus years in a comparable role
Strong competency in Power BI (Tableau or similar data visualization tools
Master level proficiency in MS Excel
Working proficiency with writing SQL to query data from relational database
Familiarity with SSRS (SQL Server Reporting Services) and SSIS (SQL Server Integration Services)
Experience with enterprise tools/systems such as Salesforce and NetSuite
Fundamental understanding of API's or Postman
Fundamental understanding of Python & R
Propio is an Equal Opportunity Employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.
All applicants must be able to complete pre-employment onboarding requirements (if selected) which may include any/all of the following: criminal background check, drug screen, education, and employment verification.
t2K8cI9oBa",3.7,"Corporate Propio Language Services
3.7","Overland Park, KS",51 to 200 Employees,1998,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable
5,Sr. Business Data Analyst,Employer Provided Salary:$60.00 - $70.00 Per Hour,"Business Analysis Skills
Good Data analysis Skills
ANSI SQL proficiency working with DB technologies such as Azure SQL / Oracle
Problem solving skills
Excellent Communication Skills
Ability to elicit business requirements & packaging them into user stories
Documentation skills
Good Collaboration skills
Prior experience working in an Agile project team is a must
Experience using Azure boards is a plus (Jira or an equivalent platform is acceptable)
Backlog development / Backlog refinement / Sprint planning experience
Job Types: Full-time, Contract
Pay: $60.00 - $70.00 per hour
Experience level:
8 years
Schedule:
Monday to Friday
Overtime
Ability to commute/relocate:
Deerfield Beach, FL: Reliably commute or planning to relocate before starting work (Required)
Experience:
SQL: 5 years (Preferred)
Work Location: In person",4.6,"CTI Consulting
4.6","Deerfield Beach, FL",1 to 50 Employees,-1,Company - Private,-1,-1,$1 to $5 million (USD)
6,Data Business Analyst (Remote),Employer Provided Salary:$63.00 - $67.00 Per Hour,"Job Detail
Job Code 686457
Tax Term W2 Hourly1099Corp To Corp
Career Level Mid Level
Experience 5 Years
US Work Status US CitizenGreen Card Holder
Job Duration 12 Months
Qualifications Bachelor's Degree
Job Description
Excelraise, LLC is a rapidly growing full service IT solutions integrator and talent management company headquartered in Denver, CO. Our valued client*s includes fortune 500 companies, Government Agencies.
Currently, we are looking for a qualified individual to work as a Data Business Analyst (Remote) with our direct client in Raleigh, NC.
The DEQ enterprise is a complex, multi-platform data environment. Technologies in use include Oracle, DB2, MySQL, and SQL Server, as well as desktop-based applications such as MS Access and MS Excel. DEQ aims to establish an enterprise data model with a primary goal of standardizing shared data entities and attributes and a secondary goal of standardizing database management systems and tools. Related transactional databases and data warehouses will be hosted in Azure, generally using Microsoft Dataverse and SQL Server. The Senior Data Analyst/Architect will provide analysis and leadership on data analysis projects across the DEQ enterprise. You will provide insight to other data analysts, data architects, and application developers related to creating an enterprise data model that meets DEQ’s business and technical requirements. You will also provide subject matter expertise related to Microsoft Dataverse, SQL Server, Azure Data Factory, and SSIS.
Outstanding interpersonal and communication skills and experience collaborating and influencing across all levels of the organization.
Experience with Azure Data Factory as an ETL tool.
Bachelor’s Degree or equivalent in a technology-related field (e.g. Computer Science, Engineering, etc.) with a focus on data analysis, data structure.
Experience with MS Dataverse is Required.
Experience with MS SSIS.
Proven track record of solving real-world problems using data. Excellent critical thinking skills are a must-have for this role.
Understanding of different database platforms: Oracle, SQL Server (On-Prem / Azure), DB2, and MS Access.
Excellent communication skills including written, verbal, and technology illustrations.
Understanding of Data Warehousing and data mining.
Understanding of modeling strategies (dimensional, snowflake, relational, unstructured).
Experience designing and delivering data mapping specifications for large reporting platforms. Writing and maintaining business rules using SQL logic.
Demonstrated experience in writing ad-hoc SQL statements.
Strong interest in playing a technical data steward role across our business and technology partners to understand and detail our data, appropriately.
Proven experience with ERD/Data Modelling tools (Toad or others).
Experience in executing projects in an Agile / Hybrid environment.
Demonstrated technical ability in learning new technologies and adapting to frequent changes in the technical environment.
Experience with data reporting tools (Power BI, others).",3.8,"Excelraise, LLC
3.8","Raleigh, NC",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
7,Junior BA,Employer Provided Salary:$25.00 - $30.00 Per Hour,"Job Requirements:
Perform requirement elicitation and document various levels of requirements form the business teams
Perform Stakeholder Engagement and progress reporting with the PMO office
Work on process mappings including business process flows and cross functional diagrams (MS Visio)
Work with the technical team to provide specifications to the developers Assist the QA workflow including UAT testing
Work on data requirements from the team. Tableau experience is a plus
Minimum Qualifications:
Bachelor’s Degree/Master Degree
0-1year of experience (preferred)
Strong oral/verbal and written communication skills
Strong attention to detail
Must have similar experience in the past
Job Type: Full-time
Pay: $25.00 - $30.00 per hour
Benefits:
Health insurance
Life insurance
Professional development assistance
Schedule:
8 hour shift
Monday to Friday
Work Location: In person",-1.0,TRESUME,"Fairfax, VA",1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
8,Business Analyst I,$65K - $89K (Glassdoor est.),"Location: Washington DC ** Please note, this position will be hybrid and may require being on-site in the Washington, D.C. area at least 3 days a week ** PLEASE DO NOT APPLY IF YOU DO NOT CURRENTLY RESIDE IN THE WASHINGTON, D.C. METROPOLITAN AREA OR IF YOU ARE NOT ABLE TO PROVIDE ON-SITE CLIENT SUPPORT IN THE WASHINGTON, D.C. METROPOLITAN AREA.
T. White Parker is seeking an experienced and polished Business Analyst to provide a wide range of program support including data analysis, strategic planning, and budget and acquisition planning and execution for a civilian, federal mission program..
The Business Analyst will work both independently and as part of a team to conduct a variety of quantitative analyses. The successful candidate will have a strong foundational knowledge in statistical analysis, research, and know how to identify causal factors. Analysis may span a broad spectrum including financial, labor force (census), workforce population, project variances, earned value, etc. The Business Analyst must be able to interpret guidance and identify the most effective way to gather, analyze, and report information and data to promote business decision making.
This position involves assisting with business operations, data analysis projects, business process development and improvement, and other business operations support including strategic and tactical communications, requirements elicitation and documentation, and developing business process optimization strategies. The successful candidate must have intermediate-level expertise and experience using SharePoint, the Microsoft Office Suite products (Word, Excel, PowerPoint), and Power BI. The ideal candidate should have data visualization experience.. Candidates must have executive-facing skills and presence and be comfortable interacting with, advising, and taking direction. The ideal candidate is a self-starter who excels at both working independently and collaborating with teammates. Any PMI certification is a plus.
Primary job duties and responsibilities include, but are not limited to the following:
Assist with the government budget process for the office.
Monitor the office’s spend plan to ensure procurements are being submitted accurately and in a timely manner
Establish and update budget and procurement dashboards using Power BI or Tableau
Receive and process data call requests for internal and external stakeholders
Assist data scientists on organization-wide projects
Coordinate and host data-related training and informational sessions
Support training in budget, acquisition, and reporting activities
Evaluate business processes, anticipating requirements, identifying areas for improvement, and developing and implementing solutions across the office
Support ongoing reviews of business processes and develop optimization strategies
Facilitate meetings and presentations
Perform requirements analysis and prioritize initiatives and activities based on needs and requirements
Ensure solutions meet organizational needs and requirements
Effectively communicate insights and plans to cross-functional team members and management
Apply project management techniques to develop project plans, monitor performance, allocate resources, and monitor deliverables to ensure cost efficient and timely delivery
Gather critical information from meetings with various stakeholders to produce useful reports
Update, implement, and maintain standard operating procedures
Assist in the updating of internal and external website pages",4.2,"T. White Parker Associates, Inc.
4.2","Washington, DC",1 to 50 Employees,-1,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
9,Data Analyst,Employer Provided Salary:$40.00 - $45.00 Per Hour,"LeadStack Inc. is an award-winning, one of the nation's fastest-growing, certified minority-owned (MBE) staffing services provider of contingent workforce. As a recognized industry leader in contingent workforce solutions and Certified as a Great Place to Work, we're proud to partner with some of the most admired Fortune 500 brands in the world.
Data Analyst (Sponsor Marketing)
Duration: 3 months with possibilities of extension
Remote
Rate:$40-$45/hr on W2
Brand Engagement team – This role is focused on sponsorship marketing
Will be focused on operations.
1-4 years of experience (will be overqualified over 4 years of experience)
Experience building customer reports and dashboards in Salesforce (Tableau is a plus)
Excel – Vlookups, if then statements, etc
Building custom reports and dashboards
Proven track record in performing well in a fast-paced environment and organizational skills to manage multiple projects at once with tight deadlines effectively
Extreme attention to detail and project management experience
Technical: Strong computer skills; proficient with MS Office suite, *** products not required but highly preferred.
Demonstrated ability to deliver positive customer experiences
Flexible, fast-moving, execution and detail-oriented, with a track record of ""getting it done”
Team Player and effective communicator
Thank you!
Soumya Viswanathan!
Job Type: Contract
Salary: $40.00 - $45.00 per hour
Schedule:
8 hour shift
Work Location: Remote",4.3,"Leadstack Inc
4.3",Remote,51 to 200 Employees,2016,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
