,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Data Engineer,Employer Provided Salary:$175K - $200K,"At Expa we're dedicated to being the best place for entrepreneurs to create and build companies. Expa was founded in 2013 by Uber co-founder Garrett Camp to help bring great ideas to life. We're builders, founders, and operators ourselves, know the struggles that come with starting a new company, and what it takes to succeed. We support entrepreneurs with more than just funding — we offer a valuable network, office space, and our advice and expertise. Expa Studio combines technical and design expertise, operational support, and capital to turn bold ideas into category-defining companies.
Your role
You will be a Data Engineer (ML, AI) at a new studio company tasked with building or leveraging machine learning solutions and developing applications utilizing AI frameworks and methods. This position will require you to design and collaborate with members across the organization to deliver product innovations leveraging your unique knowledge and skill set in Machine Learning and Artificial Intelligence in our Big Data Platform. You are required to use advanced programming and analytical skills to solve a variety of complex business problems across multiple industries and through all phases of the business lifecycle.
Your Responsibilities
Write and test product or system development code.
Participate in, or lead design reviews with peers and stakeholders to decide amongst available technologies.
Review code developed by other developers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency).
Contribute to existing documentation or educational content and adapt content based on product/program updates and user feedback.
Triage product or system issues and debug/track/resolve by analyzing the sources of issues and the impact on hardware, network, or service operations and quality.
Your Experience
Masters or PhD required, preferably in Statistics, Mathematics, Computer Science or related fields.
Minimum of 4+ years related experience, preferably in Financial Services.
Strong knowledge of statistical analysis software / data analysis experience including data manipulation; preferably Python, PySpark and R.
Proven track record in executing complex modeling/machine learning projects and new product development from concept to final delivery.
Expert analytical skills to evaluate, understand and interpret data.
Demonstrated ability to communicate ideas and analysis results effectively both verbally and in writing to technical and non-technical audiences.
Excellent communication, organization, interpersonal and presentation skills.
Demonstrated ability to simultaneously manage multiple projects of significant complexity.
This will be a full-time position with a salary range of $175,000-$200,000, which is determined by various factors, including, but not limited to, work experience, skills, location, depth and maturity of our project. We're open to remote work, but would prefer someone in the LA area so that we can work in person. We're a small team and we want to try to spend as much time iterating in these early days of the idea.",3.7,"Expa
3.7","Los Angeles, CA",1 to 50 Employees,2013,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable
1,Sr. Data Engineer,Employer Provided Salary:$118K - $142K,"Data Engineer
Egen Solutions Inc offers competitive compensation, benefits, and an excellent culture of teamwork and collaboration. We are an Equal Opportunity Employer that does not discriminate on the basis of race, religion, color, sex, gender identity, sexual orientation, age, non-disqualifying physical or mental disability, national origin, veteran status or any other basis covered by appropriate law. All employment is decided on the basis of qualifications, merit, and business need.
Job Summary
We have some major internal projects underway at Egen and need a highly skilled Data Engineer to join our team on a full-time basis. Below is the JD, kindly go through it and let me know your interest and if you are interested revert back with your updated resume
Our Data Engineering teams build scalable data pipelines using Python, Spark, and cloud services (GCP and AWS). The pipelines we build typically integrate with technologies such as Kafka, Storm, and Elasticsearch. We are working on a continuous deployment pipeline that leverages rapid on-demand releases. Our developers work in an agile process to efficiently deliver high value applications and product packages.
As a Staff Data Engineer at Egen, you will leverage Spark and GCP (preferred) to architect and implement cloud-native data pipelines and infrastructure to enable analytics and machine learning on rich datasets.
Required Experience:
Built and run resilient data pipelines in production and have implemented ETL/ELT to load a multi-terabyte enterprise data warehouse.
Implemented analytics applications using multiple database technologies, such as relational, multidimensional (OLAP), key-value, document, or graph.
Defined data contracts, and wrote specifications including REST APIs.
Transformed data between data models and formats with the most modern PySpark practices. Have built cloud-native applications and supporting technologies / patterns / practices including: Cloud Services, Docker, CI/CD, DevOps, and microservices.
Planned and designed artifacts that describe software architectures involving multiple systems and technologies
You've worked in agile environments and are comfortable iterating quickly.
Nice to have's (but not required):
GCP expertise is preferred but will consider AWS
Experience moving trained machine learning models into production data pipelines.
Experience in biotech, genomics, clinical research or precision medicine.
Expert knowledge of relational database modeling concepts, SQL skills, proficiency in query performance tuning, and desire to share knowledge with others.
This is full-time, On-site, and Remote. We are based out in Naperville, IL.
Looking forward to striking up a conversation with you on the opportunity!, Kindly visit our website egen.solutions
equirements
Bachelor’s degree in Computer Science, Engineering, or related field.
3+ years of experience with data engineering and/or data analysis.
Strong analytical skills and ability to think analytically.
Ability to work independently with minimal supervision.
Experience with SQL and/or NoSQL databases is a plus.
Experience with ETL processes is a plus.
Experience with cloud-based solutions such as Azure Data Factory is a plus.
Experience with Agile software development methods such as Scrum is a plus.
Ability to work in a fast-paced environment and adapt to changing priorities.
Ability to work in a team environment while maintaining strong individual initiative.
Job Type: Full-time
Pay: $117,577.88 - $141,599.17 per year
Benefits:
401(k)
Dental insurance
Health insurance
Experience level:
5 years
Application Question(s):
Are you a personal who hold any of these work authorizations currently(OPT EAD/GC/F1 OPT/H4 EAD.
Work Location: In person",-1,Egen Solutions Inc,"Naperville, IL",-1,-1,-1,-1,-1,-1
2,Data Engineer (Remote),-1,"At Bluesight, our mission is to create groundbreaking medication intelligence solutions that increase efficiency, safety and visibility for health systems and pharmaceutical manufacturers. We empower our customers to deliver the right medicine to the right patient at the right time, every time. We are a high growth healthcare information technology company with a start-up 'vibe' but over 2,000 customers tracking medications using our proven solutions.

The Data Engineer has experience working with both internal, and external, consumers of data products, with a skill for building data architectures and platforms that are robust, extensible, and scalable. Prior experience designing and leading an enterprise-wide data architecture is desirable. This role should use a collaborative and consensus-building approach to the work. This role will cover the spectrum of our data product offerings, from data governance and security to extract, transformation and testing and will work closely with product owners, engineering teams.
You can expect to:
Define, design, implement and maintain data architectures and infrastructure that unify our core products and 3rd party tools
Develop and champion good data stewardship and governance practices across the company and work closely with Security to ensure customer assurance
Design and support customer facing data products both with API and interactive components.
You will be responsible for extending a set of tools used for data pipeline development and metadata management.
About You:
A minimum of a BS degree in computer science, software engineering, or related scientific discipline
At least 2 years of experience in a data engineering role gained over several companies or coupled with prior experience as a backend engineer
Ability to communicate clearly with all audiences about data architecture and implementations
Strong written and analytical skills
Experience working on modern ETL tools like Stitch and FiveTran, and DBT
Strong bias for action, documentation and education
Ability to work through ambiguity with open communication and autonomy
Expert-level mastery of SQL (MySql, Redshift, Athena, Postgres) and db denormalization concepts
Proficiency in Spark or other distributed processing frameworks.
Exceptional attention to detail
Great analytical, critical thinking, and problem-solving abilities
Proficiency implementing monitoring instrumentation, triaging incidents, resolving customer issues
Experience with a data pipeline orchestration tools like Dagster, Luigi or Airflow
Working experience in AWS cloud computing environment, preferably with Lambda, S3, MWAA, Athena, SQS, DMS, Glue
Programming experience with Python in a production setting
Nice to Have:
Experience working with PHI or other regulated data
Knowledge of hospital data systems (e.g. EHR, ADC, purchasing reports, etc.)
Knowledge of the pharmaceutical supply chain
What you'll get from us:
Opportunity to build a data team culture within the organization, and to shape a data team that has built an industry-leading product
A strong voice in what we work on, how it works, and how we build it
Trust in your sense of ownership, estimations and design decisions
A budget for training and career development
Coworkers you'll learn from and who are looking to learn from you
Opportunities to solve problems of scale, debt and security to redefine what’s possible in medication intelligence
This position is a remote position and open to applicants in the continental United States.

Why Bluesight?
Bluesight’s culture is built on innovation and teamwork. There’s room to grow and opportunities to take initiative. You will partner with sharp, motivated teammates looking to disrupt a massive industry—and have fun doing it. We truly believe that where you work and what you do matters. Join us as we revolutionize the hospital pharmacy landscape!
Competitive salary
Time off when you need it – unlimited vacation days!
Generous insurance coverage
401k program with a company match
Fun, collaborative culture!

EOE AA M/F/VET/Disability

All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, religion, color, national origin, sex, protected veteran status, disability, or any other basis protected by federal, state or local laws.",4.1,"Kitcheck
4.1",Remote,51 to 200 Employees,2013,Company - Private,Computer Hardware Development,Information Technology,$25 to $100 million (USD)
3,Senior Lead Data Engineer,Employer Provided Salary:$75.00 Per Hour,"Hello,
Hope you are doing well!!!
We are constantly on the lookout for professionals to fulfil the staffing needs of our clients, and we currently have a job opening that may interest you.
Job Title: Senior Big Data Engineer
Location: Malvern, PA (Hybrid)
Position type: Contract
Responsibilities
· Participate in agile team meetings, analyze requirements, design and build data pipelines using AWS infrastructure
Qualifications
· Pyspark, SQL, Python, AWS Glue ETL, AWS EMR, AWS S3, Control M
If you believe you are in the job market or interested in making a change, please email
Darshan More | New York Technology Partners
Job Type: Contract
Salary: From $75.00 per hour
Experience level:
11+ years
Schedule:
8 hour shift
Monday to Friday
Ability to commute/relocate:
Malvern, PA 19355: Reliably commute or planning to relocate before starting work (Required)
Experience:
AWS Glue: 3 years (Preferred)
ETL: 3 years (Preferred)
Python: 3 years (Preferred)
PySpark: 2 years (Preferred)
SQL: 10 years (Preferred)
Work Location: In person",4.0,"New York Technology Partners
4.0","Malvern, PA",51 to 200 Employees,1999,Company - Private,Computer Hardware Development,Information Technology,$25 to $100 million (USD)
4,Data Devops Engineer,-1,"Overview
Health by Design (HBD), a well-respected company in San Antonio, Texas is known for its trusted onsite and near-site care clinic that focuses on the mind, body, and soul. In addition to providing a positive work experience for our employees, HBD provides employees with exclusive, convenient access to medical care focused on prevention and wellness. HBD was acquired by Medici Clinical Management, LLC in 2019. We are now actively seeking a Data Engineers to contribute to our growth. This is an exceptional opportunity to make meaningful impact on community health and well-being. Join us and help shape the future of healthcare.

About the role
Position Overview: We are seeking an experienced Data Engineer with 8 - 15 years of hands-on experience in working with SQL Server, SQL, ETL and schema design. As a Data DevOps Engineer, you will be responsible for managing and optimizing our data infrastructure, ensuring the efficient storage, retrieval, and processing of data in an early-stage fast paced environment. You will collaborate closely with cross-functional teams to design and implement scalable data solutions, enabling data-driven decision-making across the organization.


FULLY REMOTE POSITION MUST RESIDE IN TEXAS, LOUISIANA, OKLAHOMA, SOUTH CAROLINA, MARYLAND, TEXAS, NEW YORK, CALIFORNIA, TENNESSEE, UTAH, KENTUCKY OR FLORIDA
Key Responsibilities
Technical Leadership: Drive projects to modernize the data platform and migrate legacy systems. Data Infrastructure Management: Design, develop, and maintain the data infrastructure, including databases, data pipelines, and ETL processes, to support efficient data storage, retrieval, and processing including job creation, management, and monitoring.
Schema Design: Collaborate with data scientists, analysts, and other stakeholders to design database schemas that optimize data retrieval and storage while adhering to industry best practices.
Data Modeling: Create and maintain data models and data dictionaries to ensure consistency and standardization across data sources and systems. Performance Optimization: Monitor and fine-tune database performance by identifying and resolving bottlenecks, optimizing queries, and implementing indexing strategies.
ETL Development: Develop and maintain scalable Extract, Transform, Load (ETL) processes to ensure data quality, integrity, and timeliness.
Data Security: Implement and maintain data security measures, including access controls, data encryption, and compliance with relevant regulations (e.g., GDPR, HIPAA).
Data Quality and Governance: Establish data quality standards, perform data profiling, and implement data governance processes to ensure data accuracy, consistency, and completeness.
Collaboration and Communication: Collaborate with cross-functional teams, including data scientists, analysts, software engineers, and business stakeholders, to understand data requirements and translate them into technical solutions. Communicate effectively to present complex technical concepts to non-technical stakeholders.
Documentation: Document data infrastructure, processes, and technical specifications to ensure knowledge transfer and enable smooth maintenance and troubleshooting.
Continuous Learning: Stay up-to-date with emerging technologies, trends, and best practices in data engineering and apply them to improve existing systems and processes.
Required Skills and Qualifications
Bachelor's degree in Computer Science, Engineering, or a related field.
8-15 years of professional experience as a Data DevOps Engineer or in a similar role.
Strong proficiency in working with relational databases, particularly SQL Server, including database design, querying, optimization, and performance tuning.
Solid understanding of SQL and experience with advanced SQL concepts, such as subqueries, window functions, and stored procedures.
k,lopExperience with data modeling and schema design, including normalization, denormalization, and indexing strategies.
Strong knowledge of ETL processes and tools for data integration, transformation, and loading. Familiarity with data warehouse concepts and technologies (e.g., star schema, data lakes).
Understanding of data security principles and experience implementing data security measures.
Excellent problem-solving and analytical skills with the ability to work on complex data-related challenges.
Strong communication and collaboration skills with the ability to work effectively in a cross-functional team environment.
Attention to detail and a commitment to delivering high-quality work.
Self-motivated and able to work independently with minimal supervision.
Familiarity with other cloud-based database systems, such as SnowFlake, Google BigQuery, PostGres, MySQL is a plus.
Knowledge of cloud platforms and services, such as AWS, Azure, or GCP, is a plus.
Equal Employment
Medici is proud to be an Equal Employment Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, reproductive health decisions, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, genetic information, political views or activity, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state, and local law.
Check out our company websites
Visit Health by Design Website
Visit Medici Website",3.3,"Medici
3.3",Kentucky,1 to 50 Employees,2016,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable
5,Senior Data Engineer - AWS,Employer Provided Salary:$60.00 - $65.00 Per Hour,"Data Engineer: Contractor
Kaizen Analytix LLC, an analytics services company seeking a qualified Data Engineer Contractor to support data science or data analytics projects. Responsibilities, capabilities for success, and job requirements are below. This role requires an estimated 40 hours/week commitment for approximately 16 weeks.
Responsibilities:
Candidate will be responsible for supporting a data science or data analytics project.
Work with client IT to understand access and use of source-of-truth data systems and downstream data sources.
Work with data scientist or visualization experts to determine data requirements such as structure, latency, availability.
Work with IT Security to assess risk of using sensitive data and how these data can be used throughout the project life cycle.
Develop an as-is and to-be state for data architecture.
Capabilities for Success:
In addition to key responsibilities, Candidate should demonstrate an ability to…
Work with the project manager and the business stakeholders to define upstream requirements for data
Contribute to estimating input and time required for data engineering development tasks
Contribute to client demonstrations of solution or presentations on architecture
Proactively raise risks and issues to internal project manager
Work with data scientist or analysts to proactively assist in data concerns
Job Requirements:
Education: Bachelor's degree required
Extensive Experience in Data Engineering – consuming, wrangling, validating, developing pipelines for data.
Strong knowledge of databases, ETL concepts, SQL, and NoSQL sources.
Experience in: Python (data packages such as Pandas, PySpark, SQL Alchemy, pydantic, etc.) and SQL.
Position Type: 1099 Contractor
Job Type: Contract
Pay: $60.00 - $65.00 per hour
Work Location: In person",3.7,"Kaizen Analytix
3.7","Dallas, TX",1 to 50 Employees,-1,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable
6,Data Engineer,$82K - $112K (Glassdoor est.),"Overview
Trissential is a trusted partner for end-to-end quality services and management consulting for digital transformation. As a part of our parent company, Expleo, we are a global organization partnering with major corporations and leading non-profits in over 30 countries. Guided by our mission and values, Trissential puts people at the heart of our organization.
Come join an experience! Add your talent to a team of forward-thinking game changers that make an impact by driving innovative solutions.
Trissential is currently seeking a Data Engineer to join our dynamic team in Minneapolis, MN (Remote).
Responsibilities
Position Summary:
A Data Engineer is a professional responsible for designing, building, and maintaining the client’s data infrastructure that supports data-centric operations, and decision-making.
The Data Engineer is responsible for creating and maintaining data pipelines, data storage systems, and data processing systems, as well as ensuring data is accurate, secure, and easily accessible.
Primary Responsibilities and Accountabilities:
Data pipeline and workflow development: This includes designing and implementing client data pipelines and workflows to ensure that data is being collected, processed, and stored in an efficient and timely manner. Understand and incorporate data quality principals that ensure optimal performance, impact, and user experience.
Data storage and processing: This includes designing and implementing data storage systems and developing and maintaining code to process and analyze data.
Data integration: This includes working with the client on designing data integration strategies, integrating data from multiple sources, and ensuring data quality.
Data security: This includes defining and implementing client data security policies and procedures, including access control and data encryption.
Data governance: This includes defining data governance policies and procedures, monitoring data quality, and ensuring compliance with data privacy regulations.
Performance tuning: This includes optimizing data access, indexing, and query performance to ensure the data infrastructure can scale as required.
Monitoring and troubleshooting: This includes monitoring data systems and troubleshooting any issues that arise, identifying and resolving performance bottlenecks, and working with other team members to resolve any problems.
Collaboration and Communication: This includes working closely with client’s Data Architects, Data Analysts, Business Intelligence and Data Science team members, and other stakeholders to understand their data needs and develop solutions that meet those needs while adhering to industry best practices.
Qualifications
Extensive experience in ETL, preferably with transitioning from legacy systems to more advanced ones.
Strong data analysis skills, with the ability to identify areas of improvement in the current process.
In-depth knowledge of automation strategy development and implementation.
Ability to work in an advisory capacity, providing insights and recommendations to improve data management capabilities.
Excellent problem-solving skills to identify potential errors and propose solutions to enhance efficiency.
Skills
Works independently or well within a team
Wants to continuously grow knowledge base and skill set
Collaborative, consultative mindset
Works well in a fast paced environment
Strong technical background
Deep knowledge and curiosity about technology and systems
Agile mindset
Job Type: Contract
Work Location: Remote",4.1,"Trissential
4.1","Minneapolis, MN",201 to 500 Employees,2003,Subsidiary or Business Segment,Business Consulting,Management & Consulting,$25 to $100 million (USD)
7,Senior Data Engineer,-1,"JOB DESCRIPTION:
Need to be expertise Coding on PySpark.
Supply Chain and Azure.
Experience in working with end-to-end technology implementation project, preferable those related to Data warehousing/Analytics/Reporting
Strong communication skills with the ability to collaborate effectively with business owners/users and technical teams.
Proven ability to gather product requirements from stakeholders and prioritize feature implementations based on business needs and product strategy.
Strong problem-solving skills and attention to detail.
Good to have experience with CPG/ Retail industry (preferable CPG companies such as Nestle, Unilever, P&G, Coca coal, PepsiCo etc)
Bachelor's/master's degree in business administration, computer science, engineering, or a related field.
Job Type: Contract
Experience:
PySpark: 5 years (Preferred)
SQL: 10 years (Preferred)
Data analytics: 5 years (Preferred)
Data warehouse: 5 years (Preferred)
Azure: 5 years (Preferred)
Data Bricks: 5 years (Preferred)
Data Lake: 5 years (Preferred)
Synapse: 5 years (Preferred)
Retail Domain: 8 years (Preferred)
CPG: 7 years (Preferred)
Work Location: Remote",4.0,"Quadrant Resource
4.0",Remote,1001 to 5000 Employees,2004,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
8,DATA ENGINEER,$81K - $117K (Glassdoor est.),"DATA ENGINEER
Upward Health is a home-based medical group specializing in primary medical and behavioral care for individuals with complex needs. We serve patients throughout their communities, and we diagnose, treat, and prescribe anywhere our patients call home. We reduce barriers to care such as long delays due to scheduling. We see patients when they need us, for as much time as they need, bringing care to them. Beyond medical supports, we also assist our patients with challenges that may affect their health, such as food insecurity, social isolation, housing needs, transportation and more. It’s no wonder 98% of patients report being fully satisfied with Upward Health!
Upward Health provides technology-enabled, integrated, and coordinated care delivery services that improve outcomes and reduce costs for patients with severe behavioral health diagnoses and co-morbid, chronic physical conditions. We are not your typical medical practice. At Upward Health, we see every day as an opportunity to make a difference in our patients' lives. We could tell you about our outcomes and patient satisfaction ratings. We could tell you about our commitment to our mission. Or you could join us and experience it all for yourself.
WHY IS THIS ROLE CRITICAL?
Are you an entrepreneurial data engineer who loves data and reporting but also wants to be more involved in the day-to-day business operations of a company? Do you get excited by solving problems, analyzing trends, creating solutions and do you have a unique ability to create order out of chaos? If you answered yes to these questions, then Upward Health has the perfect job for you. We have a unique opportunity for an energetic, smart, business savvy individual who is looking to join an entrepreneurial healthcare company and help change the lives of the patients we serve. He or she will be a dynamic team player with an outgoing personality that understands the importance of collaboration and communication. We are looking for a hard worker who is detail oriented and is excited by the opportunity to work for a company that values and rewards hard work, but that also prioritizes rewarding that hard work and having fun.
If you are excited by the thought of using your skills to positively affect how healthcare is delivered to patients, as well as the opportunity to join a rapidly growing, technology enabled healthcare company that values its employees and rewards excellent performance, then please apply to this job. You will be glad that you did.
KEY RESPONSIBILITIES:
Develop highly scalable reporting, data integration and web service features for technology deliverables and provide enterprise-level architectural design and oversight.
Develop, optimize and work with architects on data models for Data Warehouse and Operational databases.
Analyze functional needs and design, develop, integrate, and test software to meet those needs.
Design data integrations and analytics in accordance with architecture and security policies, procedures, and quality assurance best practices.
Create models and diagrams (such as flowcharts) that instruct other developers/programmers how integrations and data flows function.
Document integrations, applications and system components as a reference for future maintenance and upgrades.
Evaluate proposals to identify potential problem areas and make appropriate recommendations.
Research technologies for possible placement/adoption into UH's back-end system.
Ability to meet with users and business analysts to understand requirements, translate them into solutions and document technical designs.
Supervise and/or implement technology projects and support the resulting features in a Production environment.
Ability to test your code and provide quality deliverables.
TECHNICAL SKILLS MSUT HAVE:
4+ Years experience designing, developing and troubleshooting ETL services (SSIS or other)
4+ Years experience developing and optimizing Structured Query Language (SQL) to analyze and query data for reporting.
2+ Years experience with ETL services using Azure Data Factory
2+ Years experience with Java
2+ Years experience designing and writing web services/API code, micro services using API Frameworks and data structures (Rest, Json).
2+ Years experience in data modeling and database technologies.
2+ Years experience in Healthcare industry working w/ PHI
TECHNICAL SKILLS CONSIDERED A PLUS:
Experience w/ Power BI
MS Azure certifications
Knowledge of other Azure services
Coding ability using Visual Studio and C#
KNOWLEDGE & ABILITIES:
Highly ambitious, given role will grow as the company does.
Self-starter, very energetic and ability to change directions quickly.
High standard of quality and commitment to product top-notch work.
Ability to communicate ideas clearly and effectively in both technical and user-friendly language.
Proven ability to develop services according to healthcare industry security standards.
Strong curiosity, desire to learn new skills and acquire new knowledge.
Excellent written and verbal communication, ability to work well with people of different backgrounds and skill sets.
Ability to work independently and in a highly virtual environment, with colleagues all over the country.
Strong work ethic and willingness to work long hours, including nights and weekends when required.
Willingness to cover after-hours support when needed.
QUALIFICATIONS:
Bachelor’s degree from highly selective university
Industry experience in healthcare
Upward Health is proud to be an equal opportunity/affirmative action employer. We are committed to attracting, retaining, and maximizing the performance of a diverse and inclusive workforce.
This job description is a general outline of duties performed and is not to be misconstrued as encompassing all duties performed within the position.",3.6,"Upward Health
3.6","Hauppauge, NY",201 to 500 Employees,-1,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
9,Data Engineer,Employer Provided Salary:$115K - $135K,"**This position is a majority Remote role with occasional in-office meetings on an as-needed basis. Because of this, interested applicants must live within a reasonable driving distance of Symmetry Lending's office in Anaheim, CA.**
Job Description
This role will play a pivotal role in assisting the IT team with the evolution of the company data architecture. In addition to supporting extensions to the data warehouse design, this role will design and develop ETL required to onboard new types of business data. Finally, this role will also provide support for Analytics assignments as needed.
Responsibilities
Display sense of ownership over assigned work, requiring minimal direction and driving to completion in a sometimes fuzzy and uncharted environment.
Designing and building new data pipelines that support business requirements.
Work with IT and other business partners to support the evolution of the enterprise data architecture.
Work with IT to build new ETLs to take data from various operational systems and extend existing data warehouse data model for analytics and reporting.
Continually improve ongoing reporting and analysis processes, automating or simplifying self-service support for business constituents.
Support the development of the company BI infrastructure, including the construction of scalable analytic solutions, and on-premises reporting tools.
Utilize Power BI development to build scalable reporting models to serve BI reporting needs.
Demonstrate the ability to gather requirements, extract and manipulate data residing in multiple disparate databases, and articulate solutions to support the business.
Design, develop, and maintain performant data models in Power BI utilizing best practices.
Serve as a subject matter expert for all data warehouse and enterprise systems
Use new or existing technologies to produce analytics solutions (in the form of excel spreadsheets, dashboards, etc.).
Work with IT and Analytics team to architect and build data pipelines to optimize for performance, data quality, scalability, ease of future development, and cost.
Gather requirements, assess gaps and build roadmaps to help the analytics driven organization achieve its goals.
Develop data-related Proof of Concepts in order to demonstrate feasibility and value to Symmetry business constituents.
Qualifications / Requirements
Bachelor’s degree in Information Systems, Computer Science, Finance, or similar education from an accredited college
2-3 years Accounting and Finance background preferred
Strong skillset in Microsoft Excel (2-3 years, financial formulas & VBA is a plus) and familiarity with Microsoft Office Productivity Suite (Excel, Word, etc.)
5+years’ experience with advanced SQL concepts and writing SQL statements (SQL Server or similar).
Prefer 2 years’ experience with Microsoft BI Suite, PowerBI, Power Query, PowerPivot, Reporting Service (SSRS), SharePoint
Experience in mentoring other team members in development best practice, and methodologies.
You are passionate about data quality control and know how and where to anticipate potential errors.
Knowledge of the software development lifecycle, agile methodologies, and structured software development methodologies.
Experience performing analysis with large datasets in a cloud-based environment.
Ability to work effectively with stakeholders at all levels within the organization
Strong communication and time management skills and a self-motivated approach
Ability to work independently, detail-oriented, and execution focused
Highly collaborative and team oriented
Tenacious (doesn’t give up easily)
Genuine passion for clean and reliable data
At least 5 years of work experience
About Symmetry
Symmetry Lending, specializes in providing mortgage fulfillment services to include origination, servicing, and capital markets needs to various Lenders across the country with whom we partner. We have offices in Atlanta, GA, Eden Prairie, MN, Denver, CO, Orlando, FL, and Anaheim, CA, and we do business from coast to coast. We take great pride in building a diverse team of motivated professionals that contribute to an exciting work atmosphere. We provide a competitive benefits package including medical, dental, and vision plan options, paid time off, and more.
California Disclosure - Employee Notice at Collection
This disclosure is intended to comply with the California Consumer Privacy Act (CCPA), which gives California residents who are applicants, employees, or contractors of Symmetry Lending (“Symmetry”) the right to know what categories of personal information Symmetry collects about them and the purposes for which Symmetry uses that information. As used in this Privacy Notice, “Personal Information” means information that identifies, relates to, describes, is reasonably capable of being associated with, or could reasonably be linked, directly or indirectly, with a particular individual or household. Personal Information includes, but is not limited to, the categories of personal information identified below if such information identifies, relates to, describes, is reasonably capable of being associated with, or could be reasonably linked, directly or indirectly, with a particular individual or household.
The following is a list of the categories of Personal Information that we may collect about consumers:
Identifiers. This may include a real name, alias, postal address, unique personal identifier, online identifier, Internet Protocol address, email address, account name, Social Security number, driver's license number, passport number, or other similar identifiers.
Personal information described in the California Customer Records Statute (Cal. Civ. Code § 1798.80(e)). This may include a name, signature, Social Security number, physical characteristics or description, address, telephone number, passport number, driver's license or state identification card number, insurance policy number, education, employment, employment history, bank account number, or any other financial information, medical information, or health insurance information.
Characteristics of Protected Classification under California or Federal Law. This may include age, race, color, ancestry, national or ethnic origin, citizenship status, religion or belief, marital status, a childbirth or related medical condition, physical or mental disability, sex (including gender, gender identity, gender expression, pregnancy or childbirth, and related medical conditions), sexual orientation, veteran or military status.
Biometric information. This may include voice and video recordings.
Sensory data. This may include audio, electronic, visual, or similar information, including photos.
Professional or employment-related information. This may include current or past job history, compensation data, performance evaluations, or employee benefits.
Beneficiaries, dependents, and emergency contact information. This may include the name, gender, phone number, and relationship of beneficiaries, dependents, and emergency contacts.
We may use the categories of Personal Information for the following business or commercial purposes:
To perform background checks necessary to comply with licensing requirements, to perform reference checks, to verify eligibility to work in the United States, for contact purposes, to assess your qualification for employment, to conduct performance evaluations, for payrolls and budgeting purposes, for implementation of employee benefits, for internal organizational purposes to establish proper accommodations for sick time, PTO, leaves of absences, or emergency situations, and to conduct health screenings as allowed by OSHA and the CDC to protect the safety of our employee during pandemic situations.
For internal use, such as tracking access into buildings, timekeeping, activity logs, etc.
To comply with laws and regulations, including but not limited to applicable tax, health and safety, anti-discrimination, immigration, labor and employment, and social welfare laws.
For security or the prevention, detection, or investigation of fraud, suspected or actual illegal activity, violations of company policy or rules, or other misconduct.
To comply with civil, criminal, judicial, or regulatory inquiries, investigations, subpoenas, or summons.
To comply with all licensing requirements necessary for our business operations, including state exam audits.
To exercise or defend the legal rights of Symmetry and its employees, affiliates, customers, contractors, and agents.
To seek advice from lawyers, auditors, or other professional advisors.
If Symmetry uses Personal Information of an applicant, employee, or contractor for a purpose materially different than those disclosed in this notice, Symmetry will notify the employee and obtain explicit consent from the employee to use the Personal Information for this new purpose.
Job Type: Full-time
Pay: $115,000.00 - $135,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible spending account
Health insurance
Health savings account
Paid time off
Vision insurance
Experience level:
5 years
Schedule:
Monday to Friday
Education:
Bachelor's (Preferred)
Experience:
Accounting and Finance: 2 years (Preferred)
advanced SQL concepts and writing SQL statements: 5 years (Required)
Work Location: Hybrid remote in Anaheim, CA 92807",3.9,"Symmetry Lending
3.9","Anaheim, CA",51 to 200 Employees,-1,Company - Public,Banking & Lending,Financial Services,$5 to $25 million (USD)
