,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Data Engineer,$74K - $104K (Glassdoor est.),"Work Arrangement: This is an onsite role, requiring availability to work in our Logan, UT office.
Job Summary
We seek a highly motivated and detail-oriented Data Engineer to join our team and assist with a critical software migration project. As part of our Data Engineering team, you will play a vital role in ensuring a smooth and successful data transition from our existing software system to a new platform. The ideal candidate will have a strong understanding of data management concepts, basic programming skills, and a passion for data integrity and accuracy.
Responsibilities
Data migration planning: Collaborate with the Data Engineering team to develop a comprehensive migration plan, including data extraction, transformation, and loading (ETL) processes.",4.5,"Visionary Homes
4.5","North Logan, UT",51 to 200 Employees,2004,Company - Private,Construction,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable
1,Big Data Engineer,Employer Provided Salary:$50.00 - $60.00 Per Hour,"Job Description:
Experience working with Hadoop stack (Hive, HDFS, Spark).
Strong AWS/GCP/Azure experience.
Experience with Java or Scala or python.
Good knowledge of SQL.
Good Communication Skills.
Job Type: Contract
Pay: $50.00 - $60.00 per hour",-1,Reuben Cooley Inc.,"Phoenix, AZ",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
2,Data Engineer,Employer Provided Salary:$65.00 - $70.00 Per Hour,"Job title: Data Engineer ( USC GC )
Location: Dallas, TX ( Hybrid )
Client: Southwest Airlines
Looking for strong experience with Abinitio and AWS.
Job Type: Contract
Salary: $65.00 - $70.00 per hour
Work Location: On the road",-1,Kommforcesolutions,"Dallas, TX",-1,-1,-1,-1,-1,-1
3,Data Engineer,Employer Provided Salary:$40.00 - $45.00 Per Hour,"Location: Foster City, CA (Onsite DAY ONE)
Mid-level Data Engineer
About the Role:
Our client is looking for a highly skilled and experienced Senior Data Engineer to join our team. You will play a crucial role in building and maintaining data pipelines and architecting data models. You will collaborate with cross-functional teams to understand data requirements and translate them into technical solutions. You will be the go-to person for any data requirement for the team.
Day to Day Responsibilities:
● Develop and maintain robust, scalable, and efficient data pipelines using SQL/Python/Spark, primarily within the AWS Cloud Infrastructure",5.0,"APPIC Solutions LLC
5.0","Foster City, CA",1 to 50 Employees,2017,Company - Private,Software Development,Information Technology,$1 to $5 million (USD)
4,AWS Data Engineer,Employer Provided Salary:$68.00 - $72.00 Per Hour,"Skills: Python, Snowflake, AWS, Data Bricks
Must Haves:
5+ years of experience within data engineering
Python experience
Snowflake experience (developing ETL pipelines)
Data Bricks experience
Writing Workflows and Notebooks in python/scala/sql
Knowledge of AWS",3.9,"Apolis
3.9","El Segundo, CA",501 to 1000 Employees,1996,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD)
5,Data Engineer,-1,"What are we building?
Hard Rock Digital is a team focused on becoming the best online sportsbook, casino, and social casino company in the world. We’re building a team that resonates passion for learning, operating and building new products and technologies for millions of consumers. We care about each customer's interaction, experience, behavior, and insight and strive to ensure we’re always acting authentically.

Rooted in the kindred spirits of Hard Rock and the Seminole Tribe of Florida, the new Hard Rock Digital taps a brand known the world over as the leader in gaming, entertainment, and hospitality. We’re taking that foundation of success and bringing it to the digital space — ready to join us?

What’s the position?",3.3,"Hard Rock Digital
3.3",Remote,51 to 200 Employees,2020,Company - Private,Gambling,"Arts, Entertainment & Recreation",Unknown / Non-Applicable
6,Azure Data Engineer (DataBricks),Employer Provided Salary:$50.00 - $75.00 Per Hour,"Responsibilities:
The Azure Data Engineer will work with our clients to develop best-in-class data & analytics platforms leveraging the Microsoft Azure data stack, including Azure Synapse Analytics, Spark, and Azure Data Factory. You will work closely with client stakeholders and an award-winning team of engineers, architects, and thought leaders to design, build, and implement solutions.
Basic Qualifications:
6-8+ years of relevant experience
Bachelor’s Degree
Sound skills and hands-on experience with Azure Data Lake, Azure Data Factory, SQL Data Warehouse Azure Blob, Azure Storage Explorer",-1,"Arch Systems, LLC",Remote,-1,-1,-1,-1,-1,-1
7,Azure Data Engineer,Employer Provided Salary:$60.00 - $70.00 Per Hour,"LeadStack Inc. is an award-winning, one of the nation's fastest-growing, certified minority-owned (MBE) staffing services provider of contingent workforce. As a recognized industry leader in contingent workforce solutions and Certified as a Great Place to Work, we're proud to partner with some of the most admired Fortune 500 brands in the world.
Below are the details.
Title: Azure Data Engineer
Location: 100% Remote (Candidate must be based out of EST or CST region)
Shift: EST Hours
Duration: 6+ Months Contract",4.3,"Leadstack Inc
4.3",Remote,51 to 200 Employees,2016,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
8,Data Engineer,Employer Provided Salary:$70K - $110K,"Company Description

About Zenith
Zenith is the ROI Agency. Our more than 6,000 specialists across 95 markets offer unparalleled capabilities in Media, Data, Technology, Commerce and Content. We put effectiveness at the heart of our work to solve complex challenges, drive successful business outcomes, and grow our clients’ businesses. Zenith is part of Publicis Media, the media arm of Publicis Groupe.

Job Description
Write ETL packages and database code based on business requirements or user stories, architectural requirements, and existing code.",3.9,"Zenith
3.9","New York, NY",10000+ Employees,1988,Subsidiary or Business Segment,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable
9,Junior Data Engineer,$83K - $119K (Glassdoor est.),"Boston, MA
Full-Time

We need your help.
We’re looking for a self-motivated and detail-oriented data engineer to join our DataOps team. This opportunity will enable you contribute to the operation, support, and enhancement of our mission critical data operations platform and the development of data pipelines. Our data operations platform supports high volume, high velocity data ingestion and curation to support our existing, and rapidly expanding, health plan client base.
What you’ll do:",5.0,"Decision Point Healthcare
5.0","Boston, MA",1 to 50 Employees,2013,Company - Public,-1,-1,Less than $1 million (USD)
10,Data Analytics Engineer,$68K - $94K (Glassdoor est.),"As an employee of Bethesda you will be required to provide documentation of vaccination, this includes the COVID-19 vaccine if applicable.:

JOB SUMMARY:
Serve as an internal data consultant, participating in data integration discussions. Review existing data structures and recommend optimizations and redesigns, as warranted. Participates in the design, development, validation and testing of new or revised reports. Gather requirements and create reports as requested by the customers, to make effective business decisions. Analyze and evaluate highly complex business and market data; interpret data for the purpose of determining organizational/program performance, trends and/or probability. Design and apply forecasting and predictive modeling techniques to enhance strategic thinking and business planning. Efficiently and effectively operate across multiple projects simultaneously and assume responsibility for the appropriate data/information architecture, design and quality. Design, implement, maintain, and support end-to-end ETL solutions, as well as data warehouses and data marts. Develop, refine and maintain the security, quality, and integrity of data in ETL and data solutions. Establish, implement and uphold data integration standards and methodologies. Create and execute test plans for ETL and data integration solutions. Monitor ETL jobs to verify execution, maintain performance and resolve data integration issues as they arise. Implement, maintain and support the data quality, data catalog and master data management initiatives of data marts and data warehouse systems. Design support activities around data integration; such as on-going data validation and performance tuning. Participate in code and design review to ensure alignment to standards and best practices. May be assigned other duties as appropriate.",3.8,"Bethesda Corporate
3.8","Des Peres, MO",Unknown,-1,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
11,Data Engineer - 1483,Employer Provided Salary:$95K - $133K,"JOB SUMMARY
We are looking for an accomplished Data Engineer to join our quickly growing Analytics team. The hire will be responsible for expanding and improving our data and data pipeline architecture, as well as optimizing data flow and MDM for cross functional teams. The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up. The Data Engineer will support database architects, data analysts and data scientists on data initiatives and will ensure optimal data delivery throughout ongoing projects. They must be self-directed and comfortable supporting the data needs of multiple teams, systems, and products. The right candidate will be excited by the prospect of optimizing or even re-designing our company’s data pipelines to support our next generation of products and data initiatives.
RESPONSIBILITIES
Design, develop, and operate large scale data pipelines to support internal and external consumers
Improve and automate internal processes",3.9,"MeridianLink
3.9",United States,501 to 1000 Employees,1998,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
12,Data Engineer,Employer Provided Salary:$108K - $185K,"About Us
One Medical is a primary care solution challenging the industry status quo by making quality care more affordable, accessible and enjoyable. But this isn't your average doctor's office. We're on a mission to transform healthcare, which means improving the experience for everyone involved - from patients and providers to employers and health networks. Our seamless in-office and 24/7 virtual care services, on-site labs, and programs for preventive care, chronic care management, common illnesses and mental health concerns have been delighting people for the past fifteen years.
In February 2023 we marked a milestone when One Medical joined Amazon. Together, we look to deliver exceptional health care to more consumers, employers, care team members, and health networks to achieve better health outcomes. As we continue to grow and seek to impact more lives, we're building a diverse, driven and empathetic team, while working hard to cultivate an environment where everyone can thrive.",3.3,"One Medical
3.3","San Francisco, CA",1001 to 5000 Employees,2009,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
13,Data Engineer,$73K - $100K (Glassdoor est.),"Data Engineer
Location: Dallas, TX
The Cervantes Group is a fast-growing startup that provides software and hardware solutions to help people with disabilities learn and use technology. We are looking for a Data Engineer to join our team and help us scale our data collection, analysis, and reporting efforts. The ideal candidate will be a data scientist with strong experience in machine learning, data science, and big data. You should be comfortable working in a fast-paced, startup environment, and have an entrepreneurial mindset.
Responsibilities:
Build, test, and deploy machine learning models using Python, R, Scala, or Java.
Work with the engineering team to analyze data from multiple sources (e.g., webhooks, API calls, etc.)",3.8,"The Cervantes Group
3.8","Dallas, TX",51 to 200 Employees,2004,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
14,Big Data Engineer,Employer Provided Salary:$48.00 - $52.00 Per Hour,"Greetings from KonnectingTree Inc.,
We are actively looking for a candidate with below mentioned experience,
Role : Bigdata Engineer
Location : Hybrid ( Bloomington, MN)
Experience : 3-5 years
Job Description:
* Good experience in build and deployment of Big data applications using Pyspark
* Good experience in Python.
* Experience in Hadoop file structure.
* Good Communication and team player",-1,KONNECTINGTREE INC,"Bloomington, MN",-1,-1,-1,-1,-1,-1
15,Data Engineer,Employer Provided Salary:$100K - $120K,"JOIN AN AMAZING COMPANY AND GLOBALLY RECOGNIZED BRAND
DIVE INTO INTRIGUING PROJECTS AND LEVEL UP YOUR SKILLS
WORK WITH A FUN TEAM ONSITE IN SCOTTSDALE ARIZONA

Are you ready to embark on an exciting challenge in the field of data engineering?

Do you possess a genuine passion for unraveling patterns and crafting insightful solutions through data engineering?

Can you envision yourself that align with our company's objectives through data-driven solutions?",-1,Mind Mint,"Scottsdale, AZ",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
16,Jr. Data Engineer,-1,"JR. DATA ENGINEER
REMOTE

Overview
Kalani Consulting, Inc, a recipient of the “Best and brightest companies to work for in the Nation,” in 2022, is a fast-growing small business located in Northern Virginia with an increasing base of government customers. We specialize in Information Technology, and Management Consulting. We offer very competitive salaries and benefits and are an employee-focused company. Join us and experience The Aloha Spirit!

Responsibilities",5.0,"Kalani Consulting
5.0",Remote,1 to 50 Employees,-1,Company - Private,National Agencies,Government & Public Administration,Unknown / Non-Applicable
17,Data Engineer,$84K - $118K (Glassdoor est.),"WHO WE ARE:
Keyrus US is part of the Keyrus entity - a global data analytics consultancy with over 25 years of experience - and over 3,000 consultants in 23 countries. We partner with our clients on advisory and strategy services and complete technical implementation capabilities focusing on data governance, change management, data intelligence, cloud and security, data engineering, visualization, and data science. Keyrus US is at an exciting time! We’re aligning with the Keyrus Americas team, including US/Canada/Latam to leverage our offerings, clients, and team members.

THE ROLE:
Technical/Development - Hands-on independently and/or with Tech Leads, with Cloud-based technologies (i.e., Snowflake, AWS, Talend), creating data pipelines and orchestration to integrate systems",4.2,"Keyrus USA
4.2","New York, NY",Unknown,-1,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
18,Sr Cloud Data Engineer,Employer Provided Salary:$55.00 - $75.00 Per Hour,"Role: Sr Kubernates/Data Engineer
Location - Remote
Duration: 12 + Months
The skill sets needed are -
Strong cloud experience
Strong devops (Kubernetes, Docker, Terraform etc)
Understanding of distributed data computing platforms - anyone or more - Hadoop, Databricks, Spark, EMR, HDInsight, Snowflake etc.
String Understanding of Authorization models (RBAC, ABAC etc.)",5.0,"Prutech
5.0",Remote,201 to 500 Employees,1998,Company - Private,Software Development,Information Technology,$5 to $25 million (USD)
19,Junior Data Engineer,$68K - $98K (Glassdoor est.),"JOB PURPOSE
The Junior Data Engineer is responsible for flow of information between systems, the quality of that data, and exposing that data to deliver information and insight. The Junior Data Engineer oversees the data warehouse and related systems and ensures connectivity to keep systems operating at full capacity, develops solutions to deliver relevant data to systems and customers in a timely and secure manner.
ESSENTIAL DUTIES AND RESPONSIBILITIES
Facilitate the flow of information for students and staff between enrollment systems, student information systems, education applications, and other systems as needed
Lead architect and design of data warehouse and availability environment
Configure and administer environment",3.2,"CHARTER SCHOOLS USA INC
3.2","Fort Lauderdale, FL",501 to 1000 Employees,1997,Company - Private,Primary & Secondary Schools,Education,$100 to $500 million (USD)
20,Cloud Data Engineer - Flink/Python/PySpark,Employer Provided Salary:$95K - $150K,"---- US Federal Government Project requirements mandates role open only for US Citizens only---- (No exceptions to this requirement. Ps do not apply if you are not a US Citizen)
Job Description
Infobahn Solutions is hiring a Data Engineering professional in the Washington DC Metro Area for a US Government Federal Project with the Department of Treasury .
The Data Engineer will be part of a Data Migration & Conversion Team on a large DataLake being implemented on AWS Gov Cloud with a focus on Event Driven Architecture using Confluent (Kafka) .
The Data Engineer should have experience with Data Engineering (developing read projections) and data manipulations while using Confluent Kafka.
The Data Engineer should have experience using Databricks (PySpark) in AWS.",-1,Infobahn Solutions Inc.,"Lanham, MD",-1,-1,-1,-1,-1,-1
21,Azure Data Engineer,-1,"Description:
Spyglass MTG (Microsoft Technology Group) is a Microsoft Gold Certified Partner. We hire people who are professional consultants in addition to being highly competent performers in their specific discipline. As a Consultant at Spyglass MTG you will be working on projects to develop Microsoft technology focused solutions for a variety of clients in industries such as Financial Services, Healthcare, Life Sciences, Manufacturing and Higher Education. Our office is located in Lincoln, RI, however our clients are typically located in the Greater Boston and New England area. You will be working in a team environment that consists of Spyglass and Client members.
As an Azure Data Engineer, you will join our growing Azure Data and Analytics practice. We are looking for a Data Engineer to collect, aggregate, store, and reconcile data to Azure in support of Client business decisions. You will help design and build data pipelines, data streams, and data service APIs on Azure which drive data driven end-user information portals and insight tools. You will be a critical part of the data supply chain, ensuring that our clients can access and manipulate data for routine and ad hoc analysis to drive business outcomes using Advanced Analytics at terabyte size data scale. You will analyze the business, functional, and technical issues in order to successfully implement innovative Analytics solutions on Azure. You will be integral to the design, development, and delivery of all modern warehouse solutions on Azure for our clients.",-1,Lighthouse MTG LLC,Rhode Island,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
