,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,AI Content Writer,Employer Provided Salary:$20.00 - $25.00 Per Hour,"This is a full-time or part-time REMOTE position. You'll be able to choose which projects you want to work on, and you can work on your own schedule. Projects are paid hourly, starting at $20 per hour, with bonuses for high-quality and high-volume work. With a variety of projects to choose from, many involving writing or evaluating chatbot conversations, you can choose to work on what interests you the most!
-----
We are looking for writers and curious, detail-oriented people to join our team and teach our AI chatbots. You will have conversations with chatbots that we are building in order to measure their progress, as well as write novel conversations in order to teach them what to say.
In this role, you will need a strong imagination and attention to detail to create useful conversations and measure their quality. You do not need experience to apply, although if your background looks good, there will be a starter assessment that will serve as your interview when you sign up. We will provide training, and many people find this work quite engaging and repeatable.",-1,Data Annotation,Remote,-1,-1,-1,-1,-1,-1
1,Machine Learning Engineer,$101K - $159K (Glassdoor est.),"Kunai is a fast-growing digital agency of 120+ people specializing in fintech. Our fully remote team is driven by innovation and experimentation. Over the past decade, we've shipped over 150 products for clients that include Visa, the United Nations, Wells Fargo, Ernst & Young, and TOMS Shoes. Our founders built a previous agency (Monsoon) that was acquired by Capital One in 2015.

We are looking for an experience ML Engineer who will provide solutions for the deployment, execution, validation, monitoring, and improvement of data science solutions. You will create scalable Machine Learning systems that are highly performant. Further, you will build reusable production data pipelines for implemented machine learning models as well as write production-quality code and libraries that can be packaged as containers, installed and deployed. Finally, you will collaborate with cross-functional teams and business partners and will have the opportunity to drive current and future strategy by leveraging your analytical skills as you ensure business value and communicate the results.

Requirements",4.4,"Kunai
4.4","Dallas, TX",51 to 200 Employees,2015,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable
2,Machine Learning Engineer II,Employer Provided Salary:$119K - $124K,"Machine Learning Engineer II
Job ID
10058025
Location
New York, New York, United States
Business
Disney Media & Entertainment Distribution
Date posted
Aug. 10, 2023
Job Summary:
Hulu is a premium streaming TV destination that seeks to captivate and connect viewers with the stories they love. We create amazing experiences that celebrate the best of entertainment and technology. We’re looking for great people who are passionate about redefining TV through innovation, unconventional thinking and embracing fun. It’s a mission that takes some serious smarts, intense curiosity and determination to be the best. Come be part of the team that’s powering play.

The hiring range for this position in New York is $118,800 to $124,400 per year. The base pay actually offered will take into account internal equity and also may vary depending on the candidate’s geographic region, job-related knowledge, skills, and experience among other factors. A bonus and/or long-term incentive units may be provided as part of the compensation package, in addition to the full range of medical, financial, and/or other benefits, dependent on the level and position offered.",3.9,"Disney
3.9","New York, NY",10000+ Employees,1923,Company - Public,Film Production,Media & Communication,$10+ billion (USD)
3,Machine Learning Engineer,Employer Provided Salary:$121K - $163K,"About the AI/ ML Team
The AI / Machine Learning team is building the industry's leading Machine Learning models for use cases at scale. This team is also responsible for pushing the boundaries of applied Machine Learning on a challenging and diverse dataset.

What you will do (learn to do)
You will own, train, build and deploy cutting edge models across all Eightfold products, end to end- in production
Create innovative algorithms for Machine Learning & AI
Create industry best practices for Machine Learning in Recruiting and HR
Do it responsibly to provide equal opportunity for everyone by extending our internal model fairness platform",3.5,"Eightfold.AI
3.5","Santa Clara, CA",501 to 1000 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
4,Machine Learning Engineer,Employer Provided Salary:$66K - $140K,"At Nielsen, we believe that career growth is a partnership. You ultimately own, fuel and set the journey. By joining our team of nearly 14,000 associates, you will become part of a community that will help you to succeed. We champion you because when you succeed, we do too. Embark on a new initiative, explore a fresh approach, and take license to think big, so we can all continuously improve. We enable your best to power our future.

This engineer will develop ML based solutions that aid in the curation and augmentation of one of the largest international entertainment data sets in the world.

What We're Looking For
Experience building Deep Learning based Computer Vision solutions
Experience working with common Computer Vision libraries (e.g. OpenCV)",3.7,"Nielsen
3.7","New York, NY",10000+ Employees,1923,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD)
5,Research Scientist: Machine Learning & AI (Remote/Part-time),Employer Provided Salary:$70.00 - $120.00 Per Hour,"This is a part-time and remote job for Research Scientist in Machine Learning ( or Artificial Intelligence ). A Ph.D. degree is required.
AAFIE Artificial Intelligence Labs at AAFIE focuses on the research and development of digital transformation solutions for manufacturing and healthcare industries. Our founding members include AI professors from UC Berkeley & Purdue as well as senior engineers from Silicon Valley. Accomplishing our mission requires doing really big things for customers. We are currently looking for innovative, collaborative and curious people who love to solve real-world challenging problems in various industries using machine learning and AI.
Primary Responsibilities:
Conduct research and development projects in machine learning and artificial intelligence;
Collaborate with domain experts in industry to identify critical challenges and opportunities for AI-driven improvements, and prioritize projects accordingly;",-1,AI Labs at the American Alliance for International Education,Remote,-1,-1,-1,-1,-1,-1
6,DevSecOps,$83K - $128K (Glassdoor est.),"OVERIVEW
Newcore Technology Group is supporting a Government Contractor in pursuit of an exciting task order focused on data mesh integrating disparate data sources into a single, secure platform.

You will be a part of a high-performing team contributing your DevSecOp’s expertise in support of the DoD’s mission!

REQUIRED QUALIFICATIONS
3 years’ experience in DevOps engineering and working in Windows or Linux server administration.",4.4,"Newcore Technology Group
4.4","Houston, TX",1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
7,Small Business Loan Collector,Employer Provided Salary:$25.00 Per Hour,"This position will be located downtown Chicago, IL and associates will be allowed to work on hybrid schedule. Enova’s hybrid work model allows employees to work in the office Tuesday, Wednesday, and Thursday with the option to work from home on other days scheduled
Enova has several different consumer and small business lending brands, each with their own unique offerings and customer requirements. As a Collections Representative, you will become an expert in one particular brand over the course of our 3-4 week training program. Once you are done with training, you will reach out to customers and identify solutions to help make consistent loan payments. You will need to be resilient and comfortable working with customers through difficult situations.
What you'll be doing:
Effectively handle inbound and outbound calls to customers regarding overdue small business loan payments",3.9,"Enova International
3.9","Chicago, IL",1001 to 5000 Employees,2004,Company - Public,Banking & Lending,Financial Services,$1 to $5 billion (USD)
8,Machine Learning Engineer,$98K - $132K (Glassdoor est.),"We are on a mission to unlock impossible AI for all.
Imagine a world in which breakthrough discoveries are commonplace. Here at Synthetaic, we help organizations transcend data-access and data-quality issues, unleashing the full impact of AI in all fields. Simply put, our technology unlocks previously impossible AI that has the power to change the world.

That’s all well and good, but despite our high-tech profile, we recognize that none of this is possible without our people. Which is why we’re thrilled to be adding a Machine Learning Engineer to our Technology team.
Here’s what you’ll be working on:
Writing efficient, reusable, testable, and scalable code for core components of AI projects
Understanding and analyzing existing code written to carry out AI-related tasks
Collaborating closely with AI/ML Engineers and Data Scientists to scope out and design AI software packages",5.0,"Synthetaic
5.0","Milwaukee, WI",1 to 50 Employees,-1,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
9,Machine Learning Engineer,-1,"What we are doing now:
We are a profitable and growing artificial intelligence startup building a tool that automatically writes content about any subject with the same quality, factual accuracy, and usefulness as a human.

What you will be doing:
We have built a product that can be competitive with GPT-3 despite using 2% of the parameters. You will be helping us continue to improve the quality of these models with things such as reinforcement learning from human feedback and retrieval augmented generation. You will also help us scale up our model sizes, which includes pretraining a very large language model of our own.

You will be working directly with the Founder & CEO (who is leading the artificial intelligence team, both as a manager and as an individual contributor) and other Machine Learning Engineers to bridge this gap and build a product that can generate high-quality, factually relevant and engaging content about any keyword that a user inputs.

Your work will involve training new models and making improvements to existing ones. You will constantly be ingesting research papers, pushing state-of-the-art, and applying that to our products.",-1,Glimpse.ai,Remote,1 to 50 Employees,-1,Nonprofit Organization,-1,-1,Unknown / Non-Applicable
10,Deep Learning Engineer,$118K - $167K (Glassdoor est.),"About Matroid
Matroid's mission is to enable computers to visually understand the world.
With a “no programming required” product, Matroid brings computer vision into the hands of many. Our users can deploy cutting-edge, deep neural networks on the cloud or on-premise with the click of a button.
At Matroid, you will have the opportunity to work directly with founder and CEO, Reza Zadeh, and a world-class engineering team. You'll immediately take on high-impact projects, building features like visual search, semantic segmentation, custom object tracking, model interpretability, video summarization, and the infrastructure required to run complex machine learning workloads.
Headquartered in Palo Alto and founded in 2016 by Stanford Professor Reza Zadeh Ph.D., Matroid has raised $33.5 million from NEA, Energize Ventures, and Intel Capital.",4.7,"Matroid
4.7","Palo Alto, CA",1 to 50 Employees,2016,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
11,Computer Vision Engineer Graduate (Applied Machine Learning) - 2024 Start (BS/MS),Employer Provided Salary:$112K - $147K,"Founded in 2012, ByteDance's mission is to inspire creativity and enrich life. With a suite of more than a dozen products, including TikTok, Helo, and Resso, as well as platforms specific to the China market, including Toutiao, Douyin, and Xigua, ByteDance has made it easier and more fun for people to connect with, consume, and create content.

Why Join Us
At ByteDance, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for millions of users across all of our products. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make an impact happen with a career at ByteDance.

About the team:
The Applied Machine Learning (AML) team serves as ByteDance's central Machine Learning platform, offering training and inference systems for recommendation, advertising, CV, voice, and NLP across platforms such as Douyin, Toutiao, and Xigua Video. We supply robust Machine Learning computing resources to internal business units while pioneering universal and innovative algorithms to address their challenges. Our core Machine Learning and Recommender System capabilities are also extended to external enterprises through the Volcano Engine.

We are looking for talented individuals to join our team in 2024. As a graduate, you will get unparalleled opportunities for you to kickstart your career, pursue bold ideas and explore limitless growth opportunities. Co-create a future driven by your inspiration with ByteDance.
Successful candidates must be able to commit to one of the following start dates below:
1. January 15, 2024
2. February 5, 2024
3. March 4, 2024
4. May 20, 2024
5. June 10, 2024
6. July 15, 2024
7. August 12, 2024
We will prioritize candidates who are able to commit to these start dates. Please state your availability and graduation date clearly in your resume.

Applications will be reviewed on a rolling basis. We encourage you to apply early.

Candidates can apply for a maximum of TWO positions and will be considered for jobs in the order you applied for. The application limit is applicable to ByteDance and its affiliates' jobs globally.


1. Apply Computer Vision and artificial intelligence technologies to support ByteDance's product lines, enhancing algorithm capabilities and extending their practical applications.
2. Research and develop Computer Vision algorithms, contributing to paper publications and patent applications.
1. Bachelor's, Master's, or Ph.D. degree in computer science, artificial intelligence, or related fields.
2. Proficiency in various Computer Vision and Machine Learning algorithms.
3. Possess the ability to implement algorithms effectively and integrate them into real products.
4. Preferred experience in publishing papers at top conferences.
5. Strong algorithmic and programming skills, with achievements in ACM ICPC, NOI/IOI, TopCoder, or Kaggle competitions.
6. Effective communication and teamwork skills.

ByteDance is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At ByteDance, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.

ByteDance Inc. is committed to providing reasonable accommodations in our recruitment processes for candidates with disabilities, pregnancy, sincerely held religious beliefs or other reasons protected by applicable laws. If you need assistance or a reasonable accommodation, please reach out to us at ec.accommodations@bytedance.com.

By submitting an application for this role, you accept and agree to our global applicant privacy policy, which may be accessed here: https://jobs.bytedance.com/en/legal/privacy.",3.9,"ByteDance
3.9","San Jose, CA",10000+ Employees,2012,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
12,Machine Learning Engineer,Employer Provided Salary:$179K - $260K,"At EQ Community, we've always believed in the power of collaboration. Now, in a monumental partnership with one of the internet's leading innovators, we're joining hands to redefine the digital era with inclusivity at its heart.
Your Role in This Epic Collaboration:
Synchronized Innovation: Dive into the heart of a closely-knit, cross-functional team, where engineering, design, and product ideas harmonize.
Purpose Beyond Codes: Lead the development and evolution of machine learning tools to create a digital experience that resonates with every user.
Your Mission, Should You Choose to Accept:
Pioneering Progress: Steer groundbreaking machine learning projects, interacting with a diverse team of thinkers and doers.",-1,EQ community,Remote,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
13,Principal Machine Learning Engineers (Remote/Part-time) for Healthcare,Employer Provided Salary:$65.00 - $120.00 Per Hour,"This is a part-time and remote job for Principal Machine Learning ( or Artificial Intelligence ) Engineers in Healthcare.
AAFIE Artificial Intelligence Labs at AAFIE focuses on the research and development of digital transformation solutions for manufacturing and healthcare industries. Our founding members include AI professors from UC Berkeley as well as senior engineers from Silicon Valley. Accomplishing our mission requires doing really big things for customers. We are currently looking for innovative, collaborative and curious people who love to solve real-world problems in Healthcare industry using Machine Learning and AI.
Primary Responsibilities:
Lead research and development projects in Machine Learning and Artificial Intelligence;
Collaborate with domain experts in Healthcare to identify critical challenges and opportunities for AI-driven improvements, and prioritize projects accordingly;",-1,AI Labs at the American Alliance for International Education,Remote,-1,-1,-1,-1,-1,-1
14,Applied Scientist - Machine Learning,Employer Provided Salary:$94K - $183K,"If you are an applied scientist with a passion for applying state-of-the-art AI innovations to augment human creativity to create modern experiences that are inclusive, intelligent, human-centered, and are used by millions of people world-wide look no further!

Join us as we grow Designer, an AI-powered design service that’s helped improve and visualize billions of designs in PowerPoint and other products across the Microsoft ecosystem. We are located in heart of Silicon Valley in Mountain View, CA. We're growing the capabilities and scale of Designer, pushing the limits of machine learning to help create the world’s best presentations and designs. The team has responsibility for the design, implementation, and testing of an ecosystem which includes modern, seamless web experiences and graphics capabilities. In addition, the team is on the forefront for developing scalable cloud services deeply integrated into various Microsoft applications. Partnering with the best of AI Research, product management, UX designers and user research teams to continue delighting our customers and create a truly intelligent and delightful AI assisted design experience.

You will get the opportunity of working in a fast-paced environment developing algorithms and techniques leveraging text, images, and video for analyzing and transforming content to build solutions that have the potential to transform people’s lives. From fast evolving new intelligence features to long-range strategic investments, you will get the chance to ship world-class software to our enormous customer base. You will be surrounded by extremely talented and helpful colleagues and a great management team with lots of experience to learn from who are all deeply invested in helping you move your career forward.




Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.",4.3,"Microsoft
4.3","Mountain View, CA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
15,Machine Learning Practice Lead,-1,"At Snorkel AI, we're redefining how people and organizations build AI applications. Snorkel started as a research project in the Stanford AI Lab in 2016, creating a higher-level interface to machine learning through programmatically labeled and managed training data. From deploying in some of the world's largest and most sophisticated tech organizations, to empowering scientists, doctors, and journalists — we've seen firsthand how this approach democratizes and accelerates AI. Now, we're building Snorkel Flow to bring our technology to everyone!
Excited to help us redefine how AI applications are built? Apply to be the newest Snorkeler!
As Snorkel's ML Practice Lead, you will play a pivotal role in driving the success of our AI applications, working directly with customers to understand their business needs and translate them into actionable data solutions. Your primary responsibility will be to lead and manage a team of skilled Machine Learning Engineers, providing guidance and direction to ensure the timely and effective delivery of projects. This role demands a strong blend of technical expertise in data science, along with exceptional communication and customer-facing skills to effectively convey complex technical concepts to non-technical stakeholders. You will be responsible for scoping project requirements, creating detailed project work plans, and setting realistic expectations for the team's performance while maintaining a keen focus on delivering measurable and impactful business outcomes. Your leadership and strategic vision will be integral in shaping the data science practice, fostering innovation, and driving growth in a dynamic and ever-evolving industry.",3.5,"Snorkel AI
3.5",Remote,51 to 200 Employees,2019,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
16,Statistical Analyst,-1,"Job Overview
The Statistical Analyst will work under the direction of a Psychometrician using specifications to write and execute programs to perform psychometric analysis, scoring, and technical reporting using large datasets from large-scale assessments. This position requires proficiency and experience in working in a large-scale summative assessment environment where quality assurance, complex data sets, timely execution of tasks, and documentation of code are expected competencies.
Job Responsibilities:
Maintains, updates, and operates existing code and develops new code as needed for analysis required for projects.
Develops logic in programs to obtain required parameters to ensure data quality.
Applies given formulas to obtain required statistics for various types of psychometric analysis.
Maintains written documentation of all programming procedures and file structures for each project.",4.3,"Cambium Learning Group
4.3",Remote,1001 to 5000 Employees,2004,Company - Private,Primary & Secondary Schools,Education,$500 million to $1 billion (USD)
17,Machine Learning Architect,Employer Provided Salary:$93K - $249K,"Collaborate with business stakeholders to identify opportunities where machine learning projects can deliver value.
Collect and preprocess data sets from various sources and integrate them into our proprietary platforms.
Develop predictive models from data, including extensive exploratory data analysis, model developments for various business use cases, and report performance feedback of models.
Perform statistical analysis and constantly monitor the effectiveness of the deployed models.
Stay current with advancements in data science and machine learning technologies and assess implications to our environment.
Analyze, architect, and implement appropriate machine learning infrastructure for data processing.",4.3,"Purple Drive Technologies
4.3","Austin, TX",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
18,Freelance AI Trained Writers,-1,"We are looking for Freelance AI trained writers to join our team.
Responsibilities
Well versed with producing and proofreading AI generated content. Good Knowledge of AI content generation tools and prompts.
Should be able to create relevant content on any topic.
Proofreading the content and making sure it comes clean on AI detection software and Grammarly.
Skills and Requirements:
Excellent writing skills with the ability to write quickly, concisely, and accurately.
Proficiency in the English language.",-1,Ebizon NetInfo Pvt. Ltd,Remote,-1,-1,-1,-1,-1,-1
19,Machine Learning Engineer,-1,"Job Description
We are a solutions-based company, looking for a Machine Learning Engineer Intern on our team! Silent Falcon is looking for professionals who can solve complex issues, test new approaches, and research new solutions using data.
About the Job

We’re looking for Machine Learning Engineers! Our software and data pipelines have been built from the ground up, so if you are excited about collaborating in a high-performance team and implementing the latest advancements in Deep Learning to impact the future of geospatial analytics, then this opportunity could be an excellent fit for you.",4.2,"Silent Falcon UAS Technologies
4.2",Remote,1 to 50 Employees,-1,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
20,Jr Machine Learning Engineer,Employer Provided Salary:$40.00 - $45.00 Per Hour,"Jr Machine Learning Engineer
Remote
Long term Contract
Targeted Years of Experience: 0-3 years Responsibilities: • Design, implement and distribute large-scale Machine Learning models • Maintain and improve data pipeline using Machine Learning infrastructure and existing Machine Learning models • Assess the impact of using new data sources on data quality and comprehensiveness of graph • Data manipulation and Statistical modeling • Time series forecasting • Utilize predictive modeling and optimize algorithms • Automate excel reporting MUST HAVE SKILLS (Most Important): • Python • SQL • Excel DESIRED SKILLS: • R, KNIME, Alteryx, Tensorflow, Optimization EDUCATION/CERTIFICATIONS: Master's degree in Data Science, Mathematics, Engineering or similar fields",-1,I20 Technologies,Remote,-1,-1,-1,-1,-1,-1
